site,location,aru_id,date,hour,start,end,scientific_name,common_name,confidence,filepath
Beaubassin,NB35-01,4,20170613,05,36,39,Tachycineta bicolor,Tree Swallow,0.6218,E:\Birds Canada east\Beaubassin_NB35-01_4\MMP-POPA04_20170613_051217.wav
Beaubassin,NB35-01,4,20170613,05,150,153,Tachycineta bicolor,Tree Swallow,0.8005,E:\Birds Canada east\Beaubassin_NB35-01_4\MMP-POPA04_20170613_051217.wav
Beaubassin,NB35-01,4,20170613,05,210,213,Melospiza georgiana,Swamp Sparrow,0.7166,E:\Birds Canada east\Beaubassin_NB35-01_4\MMP-POPA04_20170613_051217.wav
Beaubassin,NB35-01,4,20170613,05,474,477,Tachycineta bicolor,Tree Swallow,0.6572,E:\Birds Canada east\Beaubassin_NB35-01_4\MMP-POPA04_20170613_051217.wav
Beaubassin,NB35-01,4,20170613,05,861,864,Tachycineta bicolor,Tree Swallow,0.7703,E:\Birds Canada east\Beaubassin_NB35-01_4\MMP-POPA04_20170613_051217.wav
Beaubassin,NB35-01,4,20170613,05,945,948,Melospiza georgiana,Swamp Sparrow,0.5051,E:\Birds Canada east\Beaubassin_NB35-01_4\MMP-POPA04_20170613_051217.wav
Beaubassin,NB35-01,4,20170613,05,1065,1068,Tachycineta bicolor,Tree Swallow,0.5295,E:\Birds Canada east\Beaubassin_NB35-01_4\MMP-POPA04_20170613_051217.wav
Beaubassin,NB35-01,4,20170613,05,1068,1071,Tachycineta bicolor,Tree Swallow,0.8506,E:\Birds Canada east\Beaubassin_NB35-01_4\MMP-POPA04_20170613_051217.wav
Beaubassin,NB35-01,4,20170613,05,1071,1074,Tachycineta bicolor,Tree Swallow,0.9223,E:\Birds Canada east\Beaubassin_NB35-01_4\MMP-POPA04_20170613_051217.wav
Beaubassin,NB35-01,4,20170613,05,1086,1089,Tachycineta bicolor,Tree Swallow,0.9685,E:\Birds Canada east\Beaubassin_NB35-01_4\MMP-POPA04_20170613_051217.wav
Beaubassin,NB35-01,4,20170613,05,1092,1095,Tachycineta bicolor,Tree Swallow,0.6273,E:\Birds Canada east\Beaubassin_NB35-01_4\MMP-POPA04_20170613_051217.wav
Beaubassin,NB35-01,4,20170613,05,1098,1101,Tachycineta bicolor,Tree Swallow,0.547,E:\Birds Canada east\Beaubassin_NB35-01_4\MMP-POPA04_20170613_051217.wav
