site,location,aru_id,date,hour,start,end,scientific_name,common_name,confidence,filepath
Fredericton,NB05-1-2,15,20190607,20,237,240,Catharus fuscescens,Veery,0.6179,E:\Birds Canada east\Fredericton_NB05-1-2_15\POPA-15_20190607_200000.wav
Fredericton,NB05-1-2,15,20190607,20,441,444,Setophaga petechia,Yellow Warbler,0.5331,E:\Birds Canada east\Fredericton_NB05-1-2_15\POPA-15_20190607_200000.wav
Fredericton,NB05-1-2,15,20190607,20,519,522,Setophaga petechia,Yellow Warbler,0.6013,E:\Birds Canada east\Fredericton_NB05-1-2_15\POPA-15_20190607_200000.wav
Fredericton,NB05-1-2,15,20190607,20,591,594,Setophaga ruticilla,American Redstart,0.5128,E:\Birds Canada east\Fredericton_NB05-1-2_15\POPA-15_20190607_200000.wav
Fredericton,NB05-1-2,15,20190607,20,639,642,Molothrus ater,Brown-headed Cowbird,0.5798,E:\Birds Canada east\Fredericton_NB05-1-2_15\POPA-15_20190607_200000.wav
Fredericton,NB05-1-2,15,20190607,20,657,660,Setophaga ruticilla,American Redstart,0.529,E:\Birds Canada east\Fredericton_NB05-1-2_15\POPA-15_20190607_200000.wav
Fredericton,NB05-1-2,15,20190607,20,669,672,Setophaga ruticilla,American Redstart,0.8857,E:\Birds Canada east\Fredericton_NB05-1-2_15\POPA-15_20190607_200000.wav
Fredericton,NB05-1-2,15,20190607,20,705,708,Setophaga ruticilla,American Redstart,0.7836,E:\Birds Canada east\Fredericton_NB05-1-2_15\POPA-15_20190607_200000.wav
Fredericton,NB05-1-2,15,20190607,20,192,195,Setophaga petechia,Yellow Warbler,0.5062,E:\Birds Canada east\Fredericton_NB05-1-2_15\POPA-15_20190607_203000.wav
Fredericton,NB05-1-2,15,20190607,20,384,387,Setophaga petechia,Yellow Warbler,0.5263,E:\Birds Canada east\Fredericton_NB05-1-2_15\POPA-15_20190607_203000.wav
Fredericton,NB05-1-2,15,20190607,20,882,885,Empidonax alnorum,Alder Flycatcher,0.6512,E:\Birds Canada east\Fredericton_NB05-1-2_15\POPA-15_20190607_203000.wav
Fredericton,NB05-1-2,15,20190607,21,39,42,Setophaga petechia,Yellow Warbler,0.5686,E:\Birds Canada east\Fredericton_NB05-1-2_15\POPA-15_20190607_210000.wav
Fredericton,NB05-1-2,15,20190607,21,54,57,Anas platyrhynchos,Mallard,0.5629,E:\Birds Canada east\Fredericton_NB05-1-2_15\POPA-15_20190607_210000.wav
