site,location,aru_id,date,hour,start,end,scientific_name,common_name,confidence,filepath
Midgic,NB38-02,3,20170519,05,183,186,Setophaga petechia,Yellow Warbler,0.605,E:\Birds Canada east\46_64_22_yellow\Midgic_NB38-02_3\MMP-POPA03_20170519_054024.wav
Midgic,NB38-02,3,20170519,05,189,192,Setophaga petechia,Yellow Warbler,0.6479,E:\Birds Canada east\46_64_22_yellow\Midgic_NB38-02_3\MMP-POPA03_20170519_054024.wav
Midgic,NB38-02,3,20170519,05,201,204,Setophaga petechia,Yellow Warbler,0.7799,E:\Birds Canada east\46_64_22_yellow\Midgic_NB38-02_3\MMP-POPA03_20170519_054024.wav
Midgic,NB38-02,3,20170519,05,204,207,Branta canadensis,Canada Goose,0.6905,E:\Birds Canada east\46_64_22_yellow\Midgic_NB38-02_3\MMP-POPA03_20170519_054024.wav
Midgic,NB38-02,3,20170519,05,213,216,Branta canadensis,Canada Goose,0.5319,E:\Birds Canada east\46_64_22_yellow\Midgic_NB38-02_3\MMP-POPA03_20170519_054024.wav
Midgic,NB38-02,3,20170519,05,216,219,Branta canadensis,Canada Goose,0.5051,E:\Birds Canada east\46_64_22_yellow\Midgic_NB38-02_3\MMP-POPA03_20170519_054024.wav
Midgic,NB38-02,3,20170519,05,456,459,Setophaga petechia,Yellow Warbler,0.7003,E:\Birds Canada east\46_64_22_yellow\Midgic_NB38-02_3\MMP-POPA03_20170519_054024.wav
Midgic,NB38-02,3,20170519,05,522,525,Setophaga petechia,Yellow Warbler,0.6092,E:\Birds Canada east\46_64_22_yellow\Midgic_NB38-02_3\MMP-POPA03_20170519_054024.wav
Midgic,NB38-02,3,20170519,05,711,714,Setophaga petechia,Yellow Warbler,0.6753,E:\Birds Canada east\46_64_22_yellow\Midgic_NB38-02_3\MMP-POPA03_20170519_054024.wav
Midgic,NB38-02,3,20170519,05,717,720,Dolichonyx oryzivorus,Bobolink,0.9016,E:\Birds Canada east\46_64_22_yellow\Midgic_NB38-02_3\MMP-POPA03_20170519_054024.wav
Midgic,NB38-02,3,20170519,05,795,798,Branta canadensis,Canada Goose,0.5456,E:\Birds Canada east\46_64_22_yellow\Midgic_NB38-02_3\MMP-POPA03_20170519_054024.wav
Midgic,NB38-02,3,20170519,05,846,849,Branta canadensis,Canada Goose,0.6008,E:\Birds Canada east\46_64_22_yellow\Midgic_NB38-02_3\MMP-POPA03_20170519_054024.wav
Midgic,NB38-02,3,20170519,05,930,933,Dolichonyx oryzivorus,Bobolink,0.5329,E:\Birds Canada east\46_64_22_yellow\Midgic_NB38-02_3\MMP-POPA03_20170519_054024.wav
Midgic,NB38-02,3,20170519,05,1095,1098,Setophaga petechia,Yellow Warbler,0.5115,E:\Birds Canada east\46_64_22_yellow\Midgic_NB38-02_3\MMP-POPA03_20170519_054024.wav
Midgic,NB38-02,3,20170519,06,129,132,Dolichonyx oryzivorus,Bobolink,0.703,E:\Birds Canada east\46_64_22_yellow\Midgic_NB38-02_3\MMP-POPA03_20170519_060000.wav
Midgic,NB38-02,3,20170519,06,120,123,Dolichonyx oryzivorus,Bobolink,0.5984,E:\Birds Canada east\46_64_22_yellow\Midgic_NB38-02_3\MMP-POPA03_20170519_061034.wav
Midgic,NB38-02,3,20170519,07,54,57,Dolichonyx oryzivorus,Bobolink,0.7612,E:\Birds Canada east\46_64_22_yellow\Midgic_NB38-02_3\MMP-POPA03_20170519_070000.wav
Midgic,NB38-02,3,20170519,07,279,282,Setophaga petechia,Yellow Warbler,0.6186,E:\Birds Canada east\46_64_22_yellow\Midgic_NB38-02_3\MMP-POPA03_20170519_070000.wav
Midgic,NB38-02,3,20170519,07,711,714,Setophaga petechia,Yellow Warbler,0.5334,E:\Birds Canada east\46_64_22_yellow\Midgic_NB38-02_3\MMP-POPA03_20170519_070000.wav
Midgic,NB38-02,3,20170519,07,747,750,Setophaga petechia,Yellow Warbler,0.6745,E:\Birds Canada east\46_64_22_yellow\Midgic_NB38-02_3\MMP-POPA03_20170519_070000.wav
Midgic,NB38-02,3,20170519,20,975,978,Agelaius phoeniceus,Red-winged Blackbird,0.5981,E:\Birds Canada east\46_64_22_yellow\Midgic_NB38-02_3\MMP-POPA03_20170519_200000.wav
Midgic,NB38-02,3,20170519,20,996,999,Agelaius phoeniceus,Red-winged Blackbird,0.5783,E:\Birds Canada east\46_64_22_yellow\Midgic_NB38-02_3\MMP-POPA03_20170519_200000.wav
Midgic,NB38-02,3,20170519,20,1086,1089,Branta canadensis,Canada Goose,0.5191,E:\Birds Canada east\46_64_22_yellow\Midgic_NB38-02_3\MMP-POPA03_20170519_200000.wav
Midgic,NB38-02,3,20170519,20,1488,1491,Branta canadensis,Canada Goose,0.7893,E:\Birds Canada east\46_64_22_yellow\Midgic_NB38-02_3\MMP-POPA03_20170519_200000.wav
Midgic,NB38-02,3,20170519,20,1491,1494,Branta canadensis,Canada Goose,0.5739,E:\Birds Canada east\46_64_22_yellow\Midgic_NB38-02_3\MMP-POPA03_20170519_200000.wav
