site,location,aru_id,date,hour,start,end,scientific_name,common_name,confidence,filepath
Musquash,NB51-02,11,20150626,05,15,18,Melospiza georgiana,Swamp Sparrow,0.7923,E:\Birds Canada east\Musquash_NB51-02_11\MMP-POPA11_20150626_054052.wav
Musquash,NB51-02,11,20150626,05,36,39,Melospiza georgiana,Swamp Sparrow,0.5956,E:\Birds Canada east\Musquash_NB51-02_11\MMP-POPA11_20150626_054052.wav
Musquash,NB51-02,11,20150626,05,39,42,Melospiza georgiana,Swamp Sparrow,0.7769,E:\Birds Canada east\Musquash_NB51-02_11\MMP-POPA11_20150626_054052.wav
Musquash,NB51-02,11,20150626,05,45,48,Melospiza georgiana,Swamp Sparrow,0.5307,E:\Birds Canada east\Musquash_NB51-02_11\MMP-POPA11_20150626_054052.wav
Musquash,NB51-02,11,20150626,05,51,54,Melospiza georgiana,Swamp Sparrow,0.6951,E:\Birds Canada east\Musquash_NB51-02_11\MMP-POPA11_20150626_054052.wav
Musquash,NB51-02,11,20150626,05,66,69,Melospiza georgiana,Swamp Sparrow,0.5458,E:\Birds Canada east\Musquash_NB51-02_11\MMP-POPA11_20150626_054052.wav
Musquash,NB51-02,11,20150626,05,72,75,Melospiza georgiana,Swamp Sparrow,0.7685,E:\Birds Canada east\Musquash_NB51-02_11\MMP-POPA11_20150626_054052.wav
Musquash,NB51-02,11,20150626,05,75,78,Melospiza georgiana,Swamp Sparrow,0.8298,E:\Birds Canada east\Musquash_NB51-02_11\MMP-POPA11_20150626_054052.wav
Musquash,NB51-02,11,20150626,05,84,87,Melospiza georgiana,Swamp Sparrow,0.5698,E:\Birds Canada east\Musquash_NB51-02_11\MMP-POPA11_20150626_054052.wav
Musquash,NB51-02,11,20150626,05,87,90,Melospiza georgiana,Swamp Sparrow,0.8798,E:\Birds Canada east\Musquash_NB51-02_11\MMP-POPA11_20150626_054052.wav
Musquash,NB51-02,11,20150626,05,90,93,Melospiza georgiana,Swamp Sparrow,0.5807,E:\Birds Canada east\Musquash_NB51-02_11\MMP-POPA11_20150626_054052.wav
Musquash,NB51-02,11,20150626,05,96,99,Melospiza georgiana,Swamp Sparrow,0.6809,E:\Birds Canada east\Musquash_NB51-02_11\MMP-POPA11_20150626_054052.wav
Musquash,NB51-02,11,20150626,05,99,102,Melospiza georgiana,Swamp Sparrow,0.8835,E:\Birds Canada east\Musquash_NB51-02_11\MMP-POPA11_20150626_054052.wav
Musquash,NB51-02,11,20150626,05,111,114,Melospiza georgiana,Swamp Sparrow,0.7152,E:\Birds Canada east\Musquash_NB51-02_11\MMP-POPA11_20150626_054052.wav
Musquash,NB51-02,11,20150626,05,522,525,Melospiza georgiana,Swamp Sparrow,0.5136,E:\Birds Canada east\Musquash_NB51-02_11\MMP-POPA11_20150626_054052.wav
Musquash,NB51-02,11,20150626,05,609,612,Zenaida macroura,Mourning Dove,0.558,E:\Birds Canada east\Musquash_NB51-02_11\MMP-POPA11_20150626_054052.wav
Musquash,NB51-02,11,20150626,05,621,624,Junco hyemalis,Dark-eyed Junco,0.5696,E:\Birds Canada east\Musquash_NB51-02_11\MMP-POPA11_20150626_054052.wav
Musquash,NB51-02,11,20150626,05,768,771,Melospiza georgiana,Swamp Sparrow,0.7143,E:\Birds Canada east\Musquash_NB51-02_11\MMP-POPA11_20150626_054052.wav
Musquash,NB51-02,11,20150626,05,780,783,Catharus guttatus,Hermit Thrush,0.5951,E:\Birds Canada east\Musquash_NB51-02_11\MMP-POPA11_20150626_054052.wav
Musquash,NB51-02,11,20150626,05,789,792,Melospiza georgiana,Swamp Sparrow,0.749,E:\Birds Canada east\Musquash_NB51-02_11\MMP-POPA11_20150626_054052.wav
Musquash,NB51-02,11,20150626,05,801,804,Melospiza georgiana,Swamp Sparrow,0.5783,E:\Birds Canada east\Musquash_NB51-02_11\MMP-POPA11_20150626_054052.wav
Musquash,NB51-02,11,20150626,05,876,879,Melospiza georgiana,Swamp Sparrow,0.6162,E:\Birds Canada east\Musquash_NB51-02_11\MMP-POPA11_20150626_054052.wav
Musquash,NB51-02,11,20150626,05,885,888,Melospiza georgiana,Swamp Sparrow,0.8586,E:\Birds Canada east\Musquash_NB51-02_11\MMP-POPA11_20150626_054052.wav
Musquash,NB51-02,11,20150626,05,1065,1068,Melospiza georgiana,Swamp Sparrow,0.7984,E:\Birds Canada east\Musquash_NB51-02_11\MMP-POPA11_20150626_054052.wav
Musquash,NB51-02,11,20150626,06,0,3,Melospiza georgiana,Swamp Sparrow,0.7816,E:\Birds Canada east\Musquash_NB51-02_11\MMP-POPA11_20150626_060000.wav
Musquash,NB51-02,11,20150626,06,114,117,Melospiza georgiana,Swamp Sparrow,0.6302,E:\Birds Canada east\Musquash_NB51-02_11\MMP-POPA11_20150626_060000.wav
Musquash,NB51-02,11,20150626,06,261,264,Melospiza georgiana,Swamp Sparrow,0.5293,E:\Birds Canada east\Musquash_NB51-02_11\MMP-POPA11_20150626_060000.wav
Musquash,NB51-02,11,20150626,06,348,351,Melospiza georgiana,Swamp Sparrow,0.7786,E:\Birds Canada east\Musquash_NB51-02_11\MMP-POPA11_20150626_060000.wav
Musquash,NB51-02,11,20150626,06,753,756,Catharus guttatus,Hermit Thrush,0.8399,E:\Birds Canada east\Musquash_NB51-02_11\MMP-POPA11_20150626_060000.wav
Musquash,NB51-02,11,20150626,06,843,846,Melospiza georgiana,Swamp Sparrow,0.9351,E:\Birds Canada east\Musquash_NB51-02_11\MMP-POPA11_20150626_060000.wav
Musquash,NB51-02,11,20150626,06,846,849,Melospiza georgiana,Swamp Sparrow,0.8842,E:\Birds Canada east\Musquash_NB51-02_11\MMP-POPA11_20150626_060000.wav
Musquash,NB51-02,11,20150626,06,858,861,Melospiza georgiana,Swamp Sparrow,0.6087,E:\Birds Canada east\Musquash_NB51-02_11\MMP-POPA11_20150626_060000.wav
Musquash,NB51-02,11,20150626,06,870,873,Melospiza georgiana,Swamp Sparrow,0.9039,E:\Birds Canada east\Musquash_NB51-02_11\MMP-POPA11_20150626_060000.wav
Musquash,NB51-02,11,20150626,06,873,876,Melospiza georgiana,Swamp Sparrow,0.9107,E:\Birds Canada east\Musquash_NB51-02_11\MMP-POPA11_20150626_060000.wav
Musquash,NB51-02,11,20150626,06,882,885,Melospiza georgiana,Swamp Sparrow,0.7713,E:\Birds Canada east\Musquash_NB51-02_11\MMP-POPA11_20150626_060000.wav
Musquash,NB51-02,11,20150626,06,894,897,Melospiza georgiana,Swamp Sparrow,0.9464,E:\Birds Canada east\Musquash_NB51-02_11\MMP-POPA11_20150626_060000.wav
Musquash,NB51-02,11,20150626,07,84,87,Melospiza georgiana,Swamp Sparrow,0.8361,E:\Birds Canada east\Musquash_NB51-02_11\MMP-POPA11_20150626_070000.wav
Musquash,NB51-02,11,20150626,07,84,87,Junco hyemalis,Dark-eyed Junco,0.5806,E:\Birds Canada east\Musquash_NB51-02_11\MMP-POPA11_20150626_070000.wav
Musquash,NB51-02,11,20150626,07,87,90,Melospiza georgiana,Swamp Sparrow,0.8121,E:\Birds Canada east\Musquash_NB51-02_11\MMP-POPA11_20150626_070000.wav
Musquash,NB51-02,11,20150626,07,99,102,Melospiza georgiana,Swamp Sparrow,0.9069,E:\Birds Canada east\Musquash_NB51-02_11\MMP-POPA11_20150626_070000.wav
Musquash,NB51-02,11,20150626,07,99,102,Junco hyemalis,Dark-eyed Junco,0.6171,E:\Birds Canada east\Musquash_NB51-02_11\MMP-POPA11_20150626_070000.wav
Musquash,NB51-02,11,20150626,07,111,114,Melospiza georgiana,Swamp Sparrow,0.6037,E:\Birds Canada east\Musquash_NB51-02_11\MMP-POPA11_20150626_070000.wav
Musquash,NB51-02,11,20150626,07,132,135,Agelaius phoeniceus,Red-winged Blackbird,0.8098,E:\Birds Canada east\Musquash_NB51-02_11\MMP-POPA11_20150626_070000.wav
Musquash,NB51-02,11,20150626,07,135,138,Melospiza georgiana,Swamp Sparrow,0.8405,E:\Birds Canada east\Musquash_NB51-02_11\MMP-POPA11_20150626_070000.wav
Musquash,NB51-02,11,20150626,07,144,147,Melospiza georgiana,Swamp Sparrow,0.8973,E:\Birds Canada east\Musquash_NB51-02_11\MMP-POPA11_20150626_070000.wav
Musquash,NB51-02,11,20150626,07,144,147,Junco hyemalis,Dark-eyed Junco,0.6249,E:\Birds Canada east\Musquash_NB51-02_11\MMP-POPA11_20150626_070000.wav
Musquash,NB51-02,11,20150626,07,147,150,Melospiza georgiana,Swamp Sparrow,0.6034,E:\Birds Canada east\Musquash_NB51-02_11\MMP-POPA11_20150626_070000.wav
Musquash,NB51-02,11,20150626,07,156,159,Melospiza georgiana,Swamp Sparrow,0.947,E:\Birds Canada east\Musquash_NB51-02_11\MMP-POPA11_20150626_070000.wav
Musquash,NB51-02,11,20150626,07,159,162,Melospiza georgiana,Swamp Sparrow,0.9127,E:\Birds Canada east\Musquash_NB51-02_11\MMP-POPA11_20150626_070000.wav
Musquash,NB51-02,11,20150626,07,207,210,Agelaius phoeniceus,Red-winged Blackbird,0.831,E:\Birds Canada east\Musquash_NB51-02_11\MMP-POPA11_20150626_070000.wav
Musquash,NB51-02,11,20150626,07,216,219,Agelaius phoeniceus,Red-winged Blackbird,0.8121,E:\Birds Canada east\Musquash_NB51-02_11\MMP-POPA11_20150626_070000.wav
Musquash,NB51-02,11,20150626,07,276,279,Junco hyemalis,Dark-eyed Junco,0.6784,E:\Birds Canada east\Musquash_NB51-02_11\MMP-POPA11_20150626_070000.wav
Musquash,NB51-02,11,20150626,07,276,279,Melospiza georgiana,Swamp Sparrow,0.5166,E:\Birds Canada east\Musquash_NB51-02_11\MMP-POPA11_20150626_070000.wav
Musquash,NB51-02,11,20150626,07,279,282,Melospiza georgiana,Swamp Sparrow,0.9124,E:\Birds Canada east\Musquash_NB51-02_11\MMP-POPA11_20150626_070000.wav
Musquash,NB51-02,11,20150626,07,288,291,Agelaius phoeniceus,Red-winged Blackbird,0.7322,E:\Birds Canada east\Musquash_NB51-02_11\MMP-POPA11_20150626_070000.wav
Musquash,NB51-02,11,20150626,07,291,294,Melospiza georgiana,Swamp Sparrow,0.9829,E:\Birds Canada east\Musquash_NB51-02_11\MMP-POPA11_20150626_070000.wav
Musquash,NB51-02,11,20150626,07,297,300,Agelaius phoeniceus,Red-winged Blackbird,0.6709,E:\Birds Canada east\Musquash_NB51-02_11\MMP-POPA11_20150626_070000.wav
Musquash,NB51-02,11,20150626,07,303,306,Melospiza georgiana,Swamp Sparrow,0.9712,E:\Birds Canada east\Musquash_NB51-02_11\MMP-POPA11_20150626_070000.wav
Musquash,NB51-02,11,20150626,07,303,306,Junco hyemalis,Dark-eyed Junco,0.6265,E:\Birds Canada east\Musquash_NB51-02_11\MMP-POPA11_20150626_070000.wav
Musquash,NB51-02,11,20150626,07,342,345,Agelaius phoeniceus,Red-winged Blackbird,0.793,E:\Birds Canada east\Musquash_NB51-02_11\MMP-POPA11_20150626_070000.wav
Musquash,NB51-02,11,20150626,07,357,360,Agelaius phoeniceus,Red-winged Blackbird,0.6689,E:\Birds Canada east\Musquash_NB51-02_11\MMP-POPA11_20150626_070000.wav
Musquash,NB51-02,11,20150626,07,366,369,Agelaius phoeniceus,Red-winged Blackbird,0.5344,E:\Birds Canada east\Musquash_NB51-02_11\MMP-POPA11_20150626_070000.wav
Musquash,NB51-02,11,20150626,07,369,372,Agelaius phoeniceus,Red-winged Blackbird,0.5433,E:\Birds Canada east\Musquash_NB51-02_11\MMP-POPA11_20150626_070000.wav
Musquash,NB51-02,11,20150626,07,375,378,Agelaius phoeniceus,Red-winged Blackbird,0.6453,E:\Birds Canada east\Musquash_NB51-02_11\MMP-POPA11_20150626_070000.wav
Musquash,NB51-02,11,20150626,07,516,519,Melospiza georgiana,Swamp Sparrow,0.7779,E:\Birds Canada east\Musquash_NB51-02_11\MMP-POPA11_20150626_070000.wav
Musquash,NB51-02,11,20150626,07,519,522,Melospiza georgiana,Swamp Sparrow,0.8767,E:\Birds Canada east\Musquash_NB51-02_11\MMP-POPA11_20150626_070000.wav
Musquash,NB51-02,11,20150626,07,534,537,Melospiza georgiana,Swamp Sparrow,0.754,E:\Birds Canada east\Musquash_NB51-02_11\MMP-POPA11_20150626_070000.wav
Musquash,NB51-02,11,20150626,07,537,540,Melospiza georgiana,Swamp Sparrow,0.7181,E:\Birds Canada east\Musquash_NB51-02_11\MMP-POPA11_20150626_070000.wav
Musquash,NB51-02,11,20150626,07,684,687,Melospiza georgiana,Swamp Sparrow,0.8796,E:\Birds Canada east\Musquash_NB51-02_11\MMP-POPA11_20150626_070000.wav
Musquash,NB51-02,11,20150626,07,696,699,Melospiza georgiana,Swamp Sparrow,0.7421,E:\Birds Canada east\Musquash_NB51-02_11\MMP-POPA11_20150626_070000.wav
Musquash,NB51-02,11,20150626,07,705,708,Melospiza georgiana,Swamp Sparrow,0.9687,E:\Birds Canada east\Musquash_NB51-02_11\MMP-POPA11_20150626_070000.wav
Musquash,NB51-02,11,20150626,07,705,708,Junco hyemalis,Dark-eyed Junco,0.534,E:\Birds Canada east\Musquash_NB51-02_11\MMP-POPA11_20150626_070000.wav
Musquash,NB51-02,11,20150626,07,708,711,Junco hyemalis,Dark-eyed Junco,0.5558,E:\Birds Canada east\Musquash_NB51-02_11\MMP-POPA11_20150626_070000.wav
Musquash,NB51-02,11,20150626,07,717,720,Melospiza georgiana,Swamp Sparrow,0.9683,E:\Birds Canada east\Musquash_NB51-02_11\MMP-POPA11_20150626_070000.wav
Musquash,NB51-02,11,20150626,07,717,720,Junco hyemalis,Dark-eyed Junco,0.5691,E:\Birds Canada east\Musquash_NB51-02_11\MMP-POPA11_20150626_070000.wav
Musquash,NB51-02,11,20150626,07,729,732,Junco hyemalis,Dark-eyed Junco,0.8775,E:\Birds Canada east\Musquash_NB51-02_11\MMP-POPA11_20150626_070000.wav
Musquash,NB51-02,11,20150626,07,729,732,Melospiza georgiana,Swamp Sparrow,0.6547,E:\Birds Canada east\Musquash_NB51-02_11\MMP-POPA11_20150626_070000.wav
Musquash,NB51-02,11,20150626,07,732,735,Melospiza georgiana,Swamp Sparrow,0.9516,E:\Birds Canada east\Musquash_NB51-02_11\MMP-POPA11_20150626_070000.wav
Musquash,NB51-02,11,20150626,07,750,753,Geothlypis trichas,Common Yellowthroat,0.6029,E:\Birds Canada east\Musquash_NB51-02_11\MMP-POPA11_20150626_070000.wav
Musquash,NB51-02,11,20150626,07,771,774,Melospiza georgiana,Swamp Sparrow,0.8852,E:\Birds Canada east\Musquash_NB51-02_11\MMP-POPA11_20150626_070000.wav
Musquash,NB51-02,11,20150626,07,780,783,Melospiza georgiana,Swamp Sparrow,0.8373,E:\Birds Canada east\Musquash_NB51-02_11\MMP-POPA11_20150626_070000.wav
Musquash,NB51-02,11,20150626,07,783,786,Melospiza georgiana,Swamp Sparrow,0.8062,E:\Birds Canada east\Musquash_NB51-02_11\MMP-POPA11_20150626_070000.wav
Musquash,NB51-02,11,20150626,07,792,795,Melospiza georgiana,Swamp Sparrow,0.7193,E:\Birds Canada east\Musquash_NB51-02_11\MMP-POPA11_20150626_070000.wav
Musquash,NB51-02,11,20150626,07,801,804,Melospiza georgiana,Swamp Sparrow,0.573,E:\Birds Canada east\Musquash_NB51-02_11\MMP-POPA11_20150626_070000.wav
Musquash,NB51-02,11,20150626,07,813,816,Melospiza georgiana,Swamp Sparrow,0.6042,E:\Birds Canada east\Musquash_NB51-02_11\MMP-POPA11_20150626_070000.wav
Musquash,NB51-02,11,20150626,07,828,831,Melospiza georgiana,Swamp Sparrow,0.7064,E:\Birds Canada east\Musquash_NB51-02_11\MMP-POPA11_20150626_070000.wav
Musquash,NB51-02,11,20150626,07,840,843,Melospiza georgiana,Swamp Sparrow,0.9399,E:\Birds Canada east\Musquash_NB51-02_11\MMP-POPA11_20150626_070000.wav
