site,location,aru_id,date,hour,start,end,scientific_name,common_name,confidence,filepath
StGeorge,NB32-04,20,20190607,20,195,198,Agelaius phoeniceus,Red-winged Blackbird,0.506,E:\Birds Canada east\StGeorge_NB32-04_20\MMP-POPA20_20190607_200000.wav
StGeorge,NB32-04,20,20190607,20,222,225,Tachycineta bicolor,Tree Swallow,0.6946,E:\Birds Canada east\StGeorge_NB32-04_20\MMP-POPA20_20190607_200000.wav
StGeorge,NB32-04,20,20190607,20,225,228,Tachycineta bicolor,Tree Swallow,0.5462,E:\Birds Canada east\StGeorge_NB32-04_20\MMP-POPA20_20190607_200000.wav
StGeorge,NB32-04,20,20190607,20,228,231,Tachycineta bicolor,Tree Swallow,0.5611,E:\Birds Canada east\StGeorge_NB32-04_20\MMP-POPA20_20190607_200000.wav
StGeorge,NB32-04,20,20190607,20,573,576,Agelaius phoeniceus,Red-winged Blackbird,0.5362,E:\Birds Canada east\StGeorge_NB32-04_20\MMP-POPA20_20190607_200000.wav
StGeorge,NB32-04,20,20190607,20,846,849,Tachycineta bicolor,Tree Swallow,0.5607,E:\Birds Canada east\StGeorge_NB32-04_20\MMP-POPA20_20190607_200000.wav
StGeorge,NB32-04,20,20190607,20,39,42,Anas platyrhynchos,Mallard,0.6038,E:\Birds Canada east\StGeorge_NB32-04_20\MMP-POPA20_20190607_203000.wav
StGeorge,NB32-04,20,20190607,20,42,45,Anas platyrhynchos,Mallard,0.5213,E:\Birds Canada east\StGeorge_NB32-04_20\MMP-POPA20_20190607_203000.wav
StGeorge,NB32-04,20,20190607,20,96,99,Tachycineta bicolor,Tree Swallow,0.6813,E:\Birds Canada east\StGeorge_NB32-04_20\MMP-POPA20_20190607_203000.wav
StGeorge,NB32-04,20,20190607,20,117,120,Actitis macularius,Spotted Sandpiper,0.5491,E:\Birds Canada east\StGeorge_NB32-04_20\MMP-POPA20_20190607_203000.wav
StGeorge,NB32-04,20,20190607,20,195,198,Tyrannus tyrannus,Eastern Kingbird,0.5233,E:\Birds Canada east\StGeorge_NB32-04_20\MMP-POPA20_20190607_203000.wav
StGeorge,NB32-04,20,20190607,20,255,258,Anas platyrhynchos,Mallard,0.5118,E:\Birds Canada east\StGeorge_NB32-04_20\MMP-POPA20_20190607_203000.wav
StGeorge,NB32-04,20,20190607,20,270,273,Tachycineta bicolor,Tree Swallow,0.5021,E:\Birds Canada east\StGeorge_NB32-04_20\MMP-POPA20_20190607_203000.wav
StGeorge,NB32-04,20,20190607,20,405,408,Tachycineta bicolor,Tree Swallow,0.6987,E:\Birds Canada east\StGeorge_NB32-04_20\MMP-POPA20_20190607_203000.wav
StGeorge,NB32-04,20,20190607,20,408,411,Tachycineta bicolor,Tree Swallow,0.8407,E:\Birds Canada east\StGeorge_NB32-04_20\MMP-POPA20_20190607_203000.wav
StGeorge,NB32-04,20,20190607,20,429,432,Tachycineta bicolor,Tree Swallow,0.7028,E:\Birds Canada east\StGeorge_NB32-04_20\MMP-POPA20_20190607_203000.wav
StGeorge,NB32-04,20,20190607,20,471,474,Tachycineta bicolor,Tree Swallow,0.6281,E:\Birds Canada east\StGeorge_NB32-04_20\MMP-POPA20_20190607_203000.wav
StGeorge,NB32-04,20,20190607,20,504,507,Agelaius phoeniceus,Red-winged Blackbird,0.821,E:\Birds Canada east\StGeorge_NB32-04_20\MMP-POPA20_20190607_203000.wav
StGeorge,NB32-04,20,20190607,20,519,522,Tachycineta bicolor,Tree Swallow,0.6925,E:\Birds Canada east\StGeorge_NB32-04_20\MMP-POPA20_20190607_203000.wav
StGeorge,NB32-04,20,20190607,20,537,540,Tachycineta bicolor,Tree Swallow,0.935,E:\Birds Canada east\StGeorge_NB32-04_20\MMP-POPA20_20190607_203000.wav
