site,location,aru_id,date,hour,start,end,scientific_name,common_name,confidence,filepath
Tintamarre,NB34-05,1,20170606,20,114,117,Melospiza georgiana,Swamp Sparrow,0.9147,E:\Birds Canada east\Tintamarre_NB34-05_1\MMP-POPA01_20170606_200000.wav
Tintamarre,NB34-05,1,20170606,20,117,120,Melospiza georgiana,Swamp Sparrow,0.8343,E:\Birds Canada east\Tintamarre_NB34-05_1\MMP-POPA01_20170606_200000.wav
Tintamarre,NB34-05,1,20170606,20,216,219,Agelaius phoeniceus,Red-winged Blackbird,0.5619,E:\Birds Canada east\Tintamarre_NB34-05_1\MMP-POPA01_20170606_200000.wav
Tintamarre,NB34-05,1,20170606,20,969,972,Setophaga petechia,Yellow Warbler,0.6833,E:\Birds Canada east\Tintamarre_NB34-05_1\MMP-POPA01_20170606_200000.wav
Tintamarre,NB34-05,1,20170606,20,2250,2253,Geothlypis trichas,Common Yellowthroat,0.5111,E:\Birds Canada east\Tintamarre_NB34-05_1\MMP-POPA01_20170606_200000.wav
Tintamarre,NB34-05,1,20170606,20,2262,2265,Geothlypis trichas,Common Yellowthroat,0.6176,E:\Birds Canada east\Tintamarre_NB34-05_1\MMP-POPA01_20170606_200000.wav
Tintamarre,NB34-05,1,20170606,20,2280,2283,Setophaga magnolia,Magnolia Warbler,0.6794,E:\Birds Canada east\Tintamarre_NB34-05_1\MMP-POPA01_20170606_200000.wav
Tintamarre,NB34-05,1,20170606,20,2304,2307,Geothlypis trichas,Common Yellowthroat,0.5036,E:\Birds Canada east\Tintamarre_NB34-05_1\MMP-POPA01_20170606_200000.wav
Tintamarre,NB34-05,1,20170606,20,2334,2337,Geothlypis trichas,Common Yellowthroat,0.5496,E:\Birds Canada east\Tintamarre_NB34-05_1\MMP-POPA01_20170606_200000.wav
Tintamarre,NB34-05,1,20170606,20,2346,2349,Geothlypis trichas,Common Yellowthroat,0.557,E:\Birds Canada east\Tintamarre_NB34-05_1\MMP-POPA01_20170606_200000.wav
Tintamarre,NB34-05,1,20170606,20,2358,2361,Geothlypis trichas,Common Yellowthroat,0.6434,E:\Birds Canada east\Tintamarre_NB34-05_1\MMP-POPA01_20170606_200000.wav
Tintamarre,NB34-05,1,20170606,20,2370,2373,Geothlypis trichas,Common Yellowthroat,0.5337,E:\Birds Canada east\Tintamarre_NB34-05_1\MMP-POPA01_20170606_200000.wav
Tintamarre,NB34-05,1,20170606,20,2385,2388,Geothlypis trichas,Common Yellowthroat,0.6476,E:\Birds Canada east\Tintamarre_NB34-05_1\MMP-POPA01_20170606_200000.wav
Tintamarre,NB34-05,1,20170606,20,2400,2403,Geothlypis trichas,Common Yellowthroat,0.7601,E:\Birds Canada east\Tintamarre_NB34-05_1\MMP-POPA01_20170606_200000.wav
Tintamarre,NB34-05,1,20170606,20,2412,2415,Geothlypis trichas,Common Yellowthroat,0.5178,E:\Birds Canada east\Tintamarre_NB34-05_1\MMP-POPA01_20170606_200000.wav
Tintamarre,NB34-05,1,20170606,20,2418,2421,Setophaga coronata,Yellow-rumped Warbler,0.5971,E:\Birds Canada east\Tintamarre_NB34-05_1\MMP-POPA01_20170606_200000.wav
Tintamarre,NB34-05,1,20170606,20,2424,2427,Geothlypis trichas,Common Yellowthroat,0.6417,E:\Birds Canada east\Tintamarre_NB34-05_1\MMP-POPA01_20170606_200000.wav
Tintamarre,NB34-05,1,20170606,20,2439,2442,Geothlypis trichas,Common Yellowthroat,0.7303,E:\Birds Canada east\Tintamarre_NB34-05_1\MMP-POPA01_20170606_200000.wav
Tintamarre,NB34-05,1,20170606,20,2556,2559,Cardellina canadensis,Canada Warbler,0.54990000000000006,E:\Birds Canada east\Tintamarre_NB34-05_1\MMP-POPA01_20170606_200000.wav
Tintamarre,NB34-05,1,20170606,20,2694,2697,Geothlypis trichas,Common Yellowthroat,0.5302,E:\Birds Canada east\Tintamarre_NB34-05_1\MMP-POPA01_20170606_200000.wav
Tintamarre,NB34-05,1,20170606,20,2931,2934,Melospiza georgiana,Swamp Sparrow,0.8543,E:\Birds Canada east\Tintamarre_NB34-05_1\MMP-POPA01_20170606_200000.wav
Tintamarre,NB34-05,1,20170606,20,2988,2991,Anas platyrhynchos,Mallard,0.5445,E:\Birds Canada east\Tintamarre_NB34-05_1\MMP-POPA01_20170606_200000.wav
Tintamarre,NB34-05,1,20170606,20,3069,3072,Setophaga coronata,Yellow-rumped Warbler,0.5319,E:\Birds Canada east\Tintamarre_NB34-05_1\MMP-POPA01_20170606_200000.wav
Tintamarre,NB34-05,1,20170606,20,3078,3081,Geothlypis trichas,Common Yellowthroat,0.636,E:\Birds Canada east\Tintamarre_NB34-05_1\MMP-POPA01_20170606_200000.wav
Tintamarre,NB34-05,1,20170606,20,3234,3237,Melospiza melodia,Song Sparrow,0.697,E:\Birds Canada east\Tintamarre_NB34-05_1\MMP-POPA01_20170606_200000.wav
Tintamarre,NB34-05,1,20170606,20,3315,3318,Geothlypis trichas,Common Yellowthroat,0.708,E:\Birds Canada east\Tintamarre_NB34-05_1\MMP-POPA01_20170606_200000.wav
Tintamarre,NB34-05,1,20170606,20,3339,3342,Geothlypis trichas,Common Yellowthroat,0.6114,E:\Birds Canada east\Tintamarre_NB34-05_1\MMP-POPA01_20170606_200000.wav
Tintamarre,NB34-05,1,20170606,20,3363,3366,Geothlypis trichas,Common Yellowthroat,0.7299,E:\Birds Canada east\Tintamarre_NB34-05_1\MMP-POPA01_20170606_200000.wav
Tintamarre,NB34-05,1,20170606,20,3378,3381,Geothlypis trichas,Common Yellowthroat,0.5309,E:\Birds Canada east\Tintamarre_NB34-05_1\MMP-POPA01_20170606_200000.wav
Tintamarre,NB34-05,1,20170606,20,3408,3411,Geothlypis trichas,Common Yellowthroat,0.6767,E:\Birds Canada east\Tintamarre_NB34-05_1\MMP-POPA01_20170606_200000.wav
Tintamarre,NB34-05,1,20170606,20,3420,3423,Geothlypis trichas,Common Yellowthroat,0.7431,E:\Birds Canada east\Tintamarre_NB34-05_1\MMP-POPA01_20170606_200000.wav
