site,location,aru_id,date,hour,start,end,scientific_name,common_name,confidence,filepath
Ward,NB36-03,13,20190612,20,0,3,Setophaga petechia,Yellow Warbler,0.5026,E:\Birds Canada east\46_64_24_blue\Ward_NB36-03_13\MMP-POPA13_20190612_200000.wav
Ward,NB36-03,13,20190612,20,9,12,Melospiza georgiana,Swamp Sparrow,0.586,E:\Birds Canada east\46_64_24_blue\Ward_NB36-03_13\MMP-POPA13_20190612_200000.wav
Ward,NB36-03,13,20190612,20,75,78,Actitis macularius,Spotted Sandpiper,0.5939,E:\Birds Canada east\46_64_24_blue\Ward_NB36-03_13\MMP-POPA13_20190612_200000.wav
Ward,NB36-03,13,20190612,20,171,174,Setophaga ruticilla,American Redstart,0.7253,E:\Birds Canada east\46_64_24_blue\Ward_NB36-03_13\MMP-POPA13_20190612_200000.wav
Ward,NB36-03,13,20190612,20,216,219,Setophaga petechia,Yellow Warbler,0.5983,E:\Birds Canada east\46_64_24_blue\Ward_NB36-03_13\MMP-POPA13_20190612_200000.wav
Ward,NB36-03,13,20190612,20,225,228,Setophaga petechia,Yellow Warbler,0.7408,E:\Birds Canada east\46_64_24_blue\Ward_NB36-03_13\MMP-POPA13_20190612_200000.wav
Ward,NB36-03,13,20190612,20,249,252,Setophaga petechia,Yellow Warbler,0.5575,E:\Birds Canada east\46_64_24_blue\Ward_NB36-03_13\MMP-POPA13_20190612_200000.wav
Ward,NB36-03,13,20190612,20,267,270,Setophaga ruticilla,American Redstart,0.6265,E:\Birds Canada east\46_64_24_blue\Ward_NB36-03_13\MMP-POPA13_20190612_200000.wav
Ward,NB36-03,13,20190612,20,273,276,Setophaga petechia,Yellow Warbler,0.7011,E:\Birds Canada east\46_64_24_blue\Ward_NB36-03_13\MMP-POPA13_20190612_200000.wav
Ward,NB36-03,13,20190612,20,288,291,Setophaga petechia,Yellow Warbler,0.8877,E:\Birds Canada east\46_64_24_blue\Ward_NB36-03_13\MMP-POPA13_20190612_200000.wav
Ward,NB36-03,13,20190612,20,321,324,Setophaga petechia,Yellow Warbler,0.9272,E:\Birds Canada east\46_64_24_blue\Ward_NB36-03_13\MMP-POPA13_20190612_200000.wav
Ward,NB36-03,13,20190612,20,324,327,Melospiza georgiana,Swamp Sparrow,0.778,E:\Birds Canada east\46_64_24_blue\Ward_NB36-03_13\MMP-POPA13_20190612_200000.wav
Ward,NB36-03,13,20190612,20,339,342,Melospiza georgiana,Swamp Sparrow,0.566,E:\Birds Canada east\46_64_24_blue\Ward_NB36-03_13\MMP-POPA13_20190612_200000.wav
Ward,NB36-03,13,20190612,20,372,375,Melospiza georgiana,Swamp Sparrow,0.6532,E:\Birds Canada east\46_64_24_blue\Ward_NB36-03_13\MMP-POPA13_20190612_200000.wav
