site,location,aru_id,date,hour,start,end,scientific_name,common_name,confidence,filepath
Beaubassin,NB35-04,4,20170520,06,165,168,Branta canadensis,Canada Goose,0.5724,E:\Birds Canada east\Beaubassin_NB35-04_4\MMP-POPA04_20170520_064038.wav
Beaubassin,NB35-04,4,20170520,06,168,171,Branta canadensis,Canada Goose,0.7951,E:\Birds Canada east\Beaubassin_NB35-04_4\MMP-POPA04_20170520_064038.wav
Beaubassin,NB35-04,4,20170520,06,183,186,Tachycineta bicolor,Tree Swallow,0.7647,E:\Birds Canada east\Beaubassin_NB35-04_4\MMP-POPA04_20170520_064038.wav
Beaubassin,NB35-04,4,20170520,06,1077,1080,Agelaius phoeniceus,Red-winged Blackbird,0.7287,E:\Birds Canada east\Beaubassin_NB35-04_4\MMP-POPA04_20170520_064038.wav
Beaubassin,NB35-04,4,20170520,20,327,330,Corvus brachyrhynchos,American Crow,0.9277,E:\Birds Canada east\Beaubassin_NB35-04_4\MMP-POPA04_20170520_200000.wav
Beaubassin,NB35-04,4,20170520,20,597,600,Agelaius phoeniceus,Red-winged Blackbird,0.5082,E:\Birds Canada east\Beaubassin_NB35-04_4\MMP-POPA04_20170520_200000.wav
Beaubassin,NB35-04,4,20170520,20,603,606,Agelaius phoeniceus,Red-winged Blackbird,0.8565,E:\Birds Canada east\Beaubassin_NB35-04_4\MMP-POPA04_20170520_200000.wav
Beaubassin,NB35-04,4,20170520,20,1947,1950,Agelaius phoeniceus,Red-winged Blackbird,0.6486,E:\Birds Canada east\Beaubassin_NB35-04_4\MMP-POPA04_20170520_200000.wav
Beaubassin,NB35-04,4,20170520,20,1959,1962,Agelaius phoeniceus,Red-winged Blackbird,0.5105,E:\Birds Canada east\Beaubassin_NB35-04_4\MMP-POPA04_20170520_200000.wav
Beaubassin,NB35-04,4,20170521,05,1083,1086,Branta canadensis,Canada Goose,0.5574,E:\Birds Canada east\Beaubassin_NB35-04_4\MMP-POPA04_20170521_050000.wav
Beaubassin,NB35-04,4,20170521,05,1680,1683,Melospiza georgiana,Swamp Sparrow,0.9454,E:\Birds Canada east\Beaubassin_NB35-04_4\MMP-POPA04_20170521_050000.wav
Beaubassin,NB35-04,4,20170521,05,1683,1686,Melospiza georgiana,Swamp Sparrow,0.9944,E:\Birds Canada east\Beaubassin_NB35-04_4\MMP-POPA04_20170521_050000.wav
Beaubassin,NB35-04,4,20170521,05,1791,1794,Tachycineta bicolor,Tree Swallow,0.8195,E:\Birds Canada east\Beaubassin_NB35-04_4\MMP-POPA04_20170521_050000.wav
Beaubassin,NB35-04,4,20170521,05,2664,2667,Agelaius phoeniceus,Red-winged Blackbird,0.7076,E:\Birds Canada east\Beaubassin_NB35-04_4\MMP-POPA04_20170521_050000.wav
Beaubassin,NB35-04,4,20170521,05,2685,2688,Agelaius phoeniceus,Red-winged Blackbird,0.7942,E:\Birds Canada east\Beaubassin_NB35-04_4\MMP-POPA04_20170521_050000.wav
Beaubassin,NB35-04,4,20170521,05,2835,2838,Agelaius phoeniceus,Red-winged Blackbird,0.5825,E:\Birds Canada east\Beaubassin_NB35-04_4\MMP-POPA04_20170521_050000.wav
Beaubassin,NB35-04,4,20170521,05,3198,3201,Tachycineta bicolor,Tree Swallow,0.8861,E:\Birds Canada east\Beaubassin_NB35-04_4\MMP-POPA04_20170521_050000.wav
Beaubassin,NB35-04,4,20170521,05,3210,3213,Tachycineta bicolor,Tree Swallow,0.8929,E:\Birds Canada east\Beaubassin_NB35-04_4\MMP-POPA04_20170521_050000.wav
Beaubassin,NB35-04,4,20170521,05,3219,3222,Tachycineta bicolor,Tree Swallow,0.9022,E:\Birds Canada east\Beaubassin_NB35-04_4\MMP-POPA04_20170521_050000.wav
Beaubassin,NB35-04,4,20170521,06,48,51,Melospiza georgiana,Swamp Sparrow,0.5458,E:\Birds Canada east\Beaubassin_NB35-04_4\MMP-POPA04_20170521_060000.wav
Beaubassin,NB35-04,4,20170521,06,153,156,Branta canadensis,Canada Goose,0.628,E:\Birds Canada east\Beaubassin_NB35-04_4\MMP-POPA04_20170521_060000.wav
Beaubassin,NB35-04,4,20170521,06,225,228,Branta canadensis,Canada Goose,0.5908,E:\Birds Canada east\Beaubassin_NB35-04_4\MMP-POPA04_20170521_060000.wav
Beaubassin,NB35-04,4,20170521,06,567,570,Agelaius phoeniceus,Red-winged Blackbird,0.5303,E:\Birds Canada east\Beaubassin_NB35-04_4\MMP-POPA04_20170521_060000.wav
Beaubassin,NB35-04,4,20170521,06,600,603,Agelaius phoeniceus,Red-winged Blackbird,0.6357,E:\Birds Canada east\Beaubassin_NB35-04_4\MMP-POPA04_20170521_060000.wav
Beaubassin,NB35-04,4,20170521,06,612,615,Agelaius phoeniceus,Red-winged Blackbird,0.519,E:\Birds Canada east\Beaubassin_NB35-04_4\MMP-POPA04_20170521_060000.wav
Beaubassin,NB35-04,4,20170521,06,786,789,Melospiza georgiana,Swamp Sparrow,0.5411,E:\Birds Canada east\Beaubassin_NB35-04_4\MMP-POPA04_20170521_060000.wav
Beaubassin,NB35-04,4,20170521,06,852,855,Agelaius phoeniceus,Red-winged Blackbird,0.7041,E:\Birds Canada east\Beaubassin_NB35-04_4\MMP-POPA04_20170521_060000.wav
Beaubassin,NB35-04,4,20170521,07,105,108,Agelaius phoeniceus,Red-winged Blackbird,0.5202,E:\Birds Canada east\Beaubassin_NB35-04_4\MMP-POPA04_20170521_070000.wav
Beaubassin,NB35-04,4,20170521,07,165,168,Agelaius phoeniceus,Red-winged Blackbird,0.6984,E:\Birds Canada east\Beaubassin_NB35-04_4\MMP-POPA04_20170521_070000.wav
Beaubassin,NB35-04,4,20170521,07,168,171,Agelaius phoeniceus,Red-winged Blackbird,0.5849,E:\Birds Canada east\Beaubassin_NB35-04_4\MMP-POPA04_20170521_070000.wav
Beaubassin,NB35-04,4,20170521,07,177,180,Agelaius phoeniceus,Red-winged Blackbird,0.6392,E:\Birds Canada east\Beaubassin_NB35-04_4\MMP-POPA04_20170521_070000.wav
Beaubassin,NB35-04,4,20170521,07,240,243,Agelaius phoeniceus,Red-winged Blackbird,0.6594,E:\Birds Canada east\Beaubassin_NB35-04_4\MMP-POPA04_20170521_070000.wav
Beaubassin,NB35-04,4,20170521,07,261,264,Agelaius phoeniceus,Red-winged Blackbird,0.5334,E:\Birds Canada east\Beaubassin_NB35-04_4\MMP-POPA04_20170521_070000.wav
