site,location,aru_id,date,hour,start,end,scientific_name,common_name,confidence,filepath
EastAmherstMarsh,NS02-05,7,20170603,07,168,171,Melospiza georgiana,Swamp Sparrow,0.5149,E:\Birds Canada east\46_64_22_yellow\EastAmherstMarsh_NS02-05_7\MMP-POPA07_20170603_070855.wav
EastAmherstMarsh,NS02-05,7,20170603,07,192,195,Melospiza georgiana,Swamp Sparrow,0.5195,E:\Birds Canada east\46_64_22_yellow\EastAmherstMarsh_NS02-05_7\MMP-POPA07_20170603_070855.wav
EastAmherstMarsh,NS02-05,7,20170603,07,195,198,Melospiza georgiana,Swamp Sparrow,0.511,E:\Birds Canada east\46_64_22_yellow\EastAmherstMarsh_NS02-05_7\MMP-POPA07_20170603_070855.wav
EastAmherstMarsh,NS02-05,7,20170603,07,225,228,Melospiza georgiana,Swamp Sparrow,0.5649,E:\Birds Canada east\46_64_22_yellow\EastAmherstMarsh_NS02-05_7\MMP-POPA07_20170603_070855.wav
EastAmherstMarsh,NS02-05,7,20170603,07,300,303,Melospiza georgiana,Swamp Sparrow,0.6962,E:\Birds Canada east\46_64_22_yellow\EastAmherstMarsh_NS02-05_7\MMP-POPA07_20170603_070855.wav
EastAmherstMarsh,NS02-05,7,20170603,07,411,414,Setophaga petechia,Yellow Warbler,0.5572,E:\Birds Canada east\46_64_22_yellow\EastAmherstMarsh_NS02-05_7\MMP-POPA07_20170603_070855.wav
EastAmherstMarsh,NS02-05,7,20170603,07,429,432,Melospiza georgiana,Swamp Sparrow,0.5616,E:\Birds Canada east\46_64_22_yellow\EastAmherstMarsh_NS02-05_7\MMP-POPA07_20170603_070855.wav
EastAmherstMarsh,NS02-05,7,20170603,07,555,558,Melospiza georgiana,Swamp Sparrow,0.7526,E:\Birds Canada east\46_64_22_yellow\EastAmherstMarsh_NS02-05_7\MMP-POPA07_20170603_070855.wav
EastAmherstMarsh,NS02-05,7,20170603,07,588,591,Setophaga petechia,Yellow Warbler,0.507,E:\Birds Canada east\46_64_22_yellow\EastAmherstMarsh_NS02-05_7\MMP-POPA07_20170603_070855.wav
EastAmherstMarsh,NS02-05,7,20170603,07,678,681,Melospiza georgiana,Swamp Sparrow,0.9115,E:\Birds Canada east\46_64_22_yellow\EastAmherstMarsh_NS02-05_7\MMP-POPA07_20170603_070855.wav
EastAmherstMarsh,NS02-05,7,20170603,07,741,744,Geothlypis trichas,Common Yellowthroat,0.7617,E:\Birds Canada east\46_64_22_yellow\EastAmherstMarsh_NS02-05_7\MMP-POPA07_20170603_070855.wav
EastAmherstMarsh,NS02-05,7,20170603,07,750,753,Melospiza georgiana,Swamp Sparrow,0.913,E:\Birds Canada east\46_64_22_yellow\EastAmherstMarsh_NS02-05_7\MMP-POPA07_20170603_070855.wav
EastAmherstMarsh,NS02-05,7,20170603,07,777,780,Melospiza georgiana,Swamp Sparrow,0.6096,E:\Birds Canada east\46_64_22_yellow\EastAmherstMarsh_NS02-05_7\MMP-POPA07_20170603_070855.wav
EastAmherstMarsh,NS02-05,7,20170603,07,810,813,Melospiza georgiana,Swamp Sparrow,0.5521,E:\Birds Canada east\46_64_22_yellow\EastAmherstMarsh_NS02-05_7\MMP-POPA07_20170603_070855.wav
EastAmherstMarsh,NS02-05,7,20170603,07,885,888,Melospiza georgiana,Swamp Sparrow,0.5396,E:\Birds Canada east\46_64_22_yellow\EastAmherstMarsh_NS02-05_7\MMP-POPA07_20170603_070855.wav
EastAmherstMarsh,NS02-05,7,20170603,07,942,945,Melospiza georgiana,Swamp Sparrow,0.7444,E:\Birds Canada east\46_64_22_yellow\EastAmherstMarsh_NS02-05_7\MMP-POPA07_20170603_070855.wav
EastAmherstMarsh,NS02-05,7,20170603,20,351,354,Agelaius phoeniceus,Red-winged Blackbird,0.6558,E:\Birds Canada east\46_64_22_yellow\EastAmherstMarsh_NS02-05_7\MMP-POPA07_20170603_200000.wav
EastAmherstMarsh,NS02-05,7,20170603,20,498,501,Agelaius phoeniceus,Red-winged Blackbird,0.507,E:\Birds Canada east\46_64_22_yellow\EastAmherstMarsh_NS02-05_7\MMP-POPA07_20170603_200000.wav
EastAmherstMarsh,NS02-05,7,20170603,20,729,732,Agelaius phoeniceus,Red-winged Blackbird,0.5251,E:\Birds Canada east\46_64_22_yellow\EastAmherstMarsh_NS02-05_7\MMP-POPA07_20170603_200000.wav
EastAmherstMarsh,NS02-05,7,20170603,20,888,891,Agelaius phoeniceus,Red-winged Blackbird,0.7732,E:\Birds Canada east\46_64_22_yellow\EastAmherstMarsh_NS02-05_7\MMP-POPA07_20170603_200000.wav
EastAmherstMarsh,NS02-05,7,20170603,20,927,930,Agelaius phoeniceus,Red-winged Blackbird,0.5615,E:\Birds Canada east\46_64_22_yellow\EastAmherstMarsh_NS02-05_7\MMP-POPA07_20170603_200000.wav
EastAmherstMarsh,NS02-05,7,20170603,20,957,960,Agelaius phoeniceus,Red-winged Blackbird,0.7836,E:\Birds Canada east\46_64_22_yellow\EastAmherstMarsh_NS02-05_7\MMP-POPA07_20170603_200000.wav
EastAmherstMarsh,NS02-05,7,20170603,20,1155,1158,Agelaius phoeniceus,Red-winged Blackbird,0.5306,E:\Birds Canada east\46_64_22_yellow\EastAmherstMarsh_NS02-05_7\MMP-POPA07_20170603_200000.wav
EastAmherstMarsh,NS02-05,7,20170603,20,1179,1182,Agelaius phoeniceus,Red-winged Blackbird,0.6862,E:\Birds Canada east\46_64_22_yellow\EastAmherstMarsh_NS02-05_7\MMP-POPA07_20170603_200000.wav
EastAmherstMarsh,NS02-05,7,20170603,20,1209,1212,Agelaius phoeniceus,Red-winged Blackbird,0.8682,E:\Birds Canada east\46_64_22_yellow\EastAmherstMarsh_NS02-05_7\MMP-POPA07_20170603_200000.wav
EastAmherstMarsh,NS02-05,7,20170603,20,1233,1236,Agelaius phoeniceus,Red-winged Blackbird,0.6256,E:\Birds Canada east\46_64_22_yellow\EastAmherstMarsh_NS02-05_7\MMP-POPA07_20170603_200000.wav
EastAmherstMarsh,NS02-05,7,20170603,20,1248,1251,Melospiza georgiana,Swamp Sparrow,0.7409,E:\Birds Canada east\46_64_22_yellow\EastAmherstMarsh_NS02-05_7\MMP-POPA07_20170603_200000.wav
EastAmherstMarsh,NS02-05,7,20170603,20,1317,1320,Agelaius phoeniceus,Red-winged Blackbird,0.7485,E:\Birds Canada east\46_64_22_yellow\EastAmherstMarsh_NS02-05_7\MMP-POPA07_20170603_200000.wav
EastAmherstMarsh,NS02-05,7,20170603,20,1332,1335,Melospiza georgiana,Swamp Sparrow,0.5741,E:\Birds Canada east\46_64_22_yellow\EastAmherstMarsh_NS02-05_7\MMP-POPA07_20170603_200000.wav
EastAmherstMarsh,NS02-05,7,20170603,20,1338,1341,Agelaius phoeniceus,Red-winged Blackbird,0.7011,E:\Birds Canada east\46_64_22_yellow\EastAmherstMarsh_NS02-05_7\MMP-POPA07_20170603_200000.wav
EastAmherstMarsh,NS02-05,7,20170603,20,1500,1503,Agelaius phoeniceus,Red-winged Blackbird,0.6446,E:\Birds Canada east\46_64_22_yellow\EastAmherstMarsh_NS02-05_7\MMP-POPA07_20170603_200000.wav
EastAmherstMarsh,NS02-05,7,20170603,20,1515,1518,Agelaius phoeniceus,Red-winged Blackbird,0.7736,E:\Birds Canada east\46_64_22_yellow\EastAmherstMarsh_NS02-05_7\MMP-POPA07_20170603_200000.wav
EastAmherstMarsh,NS02-05,7,20170603,20,1542,1545,Agelaius phoeniceus,Red-winged Blackbird,0.7816,E:\Birds Canada east\46_64_22_yellow\EastAmherstMarsh_NS02-05_7\MMP-POPA07_20170603_200000.wav
EastAmherstMarsh,NS02-05,7,20170603,20,1566,1569,Agelaius phoeniceus,Red-winged Blackbird,0.8232,E:\Birds Canada east\46_64_22_yellow\EastAmherstMarsh_NS02-05_7\MMP-POPA07_20170603_200000.wav
EastAmherstMarsh,NS02-05,7,20170603,20,1593,1596,Agelaius phoeniceus,Red-winged Blackbird,0.6367,E:\Birds Canada east\46_64_22_yellow\EastAmherstMarsh_NS02-05_7\MMP-POPA07_20170603_200000.wav
EastAmherstMarsh,NS02-05,7,20170603,20,1632,1635,Agelaius phoeniceus,Red-winged Blackbird,0.7683,E:\Birds Canada east\46_64_22_yellow\EastAmherstMarsh_NS02-05_7\MMP-POPA07_20170603_200000.wav
EastAmherstMarsh,NS02-05,7,20170603,20,1662,1665,Agelaius phoeniceus,Red-winged Blackbird,0.543,E:\Birds Canada east\46_64_22_yellow\EastAmherstMarsh_NS02-05_7\MMP-POPA07_20170603_200000.wav
EastAmherstMarsh,NS02-05,7,20170603,20,1686,1689,Agelaius phoeniceus,Red-winged Blackbird,0.622,E:\Birds Canada east\46_64_22_yellow\EastAmherstMarsh_NS02-05_7\MMP-POPA07_20170603_200000.wav
EastAmherstMarsh,NS02-05,7,20170603,20,1740,1743,Agelaius phoeniceus,Red-winged Blackbird,0.6741,E:\Birds Canada east\46_64_22_yellow\EastAmherstMarsh_NS02-05_7\MMP-POPA07_20170603_200000.wav
EastAmherstMarsh,NS02-05,7,20170603,20,1794,1797,Agelaius phoeniceus,Red-winged Blackbird,0.6483,E:\Birds Canada east\46_64_22_yellow\EastAmherstMarsh_NS02-05_7\MMP-POPA07_20170603_200000.wav
EastAmherstMarsh,NS02-05,7,20170603,20,1797,1800,Junco hyemalis,Dark-eyed Junco,0.553,E:\Birds Canada east\46_64_22_yellow\EastAmherstMarsh_NS02-05_7\MMP-POPA07_20170603_200000.wav
EastAmherstMarsh,NS02-05,7,20170603,20,1980,1983,Agelaius phoeniceus,Red-winged Blackbird,0.5976,E:\Birds Canada east\46_64_22_yellow\EastAmherstMarsh_NS02-05_7\MMP-POPA07_20170603_200000.wav
EastAmherstMarsh,NS02-05,7,20170603,20,1983,1986,Melospiza georgiana,Swamp Sparrow,0.5169,E:\Birds Canada east\46_64_22_yellow\EastAmherstMarsh_NS02-05_7\MMP-POPA07_20170603_200000.wav
EastAmherstMarsh,NS02-05,7,20170603,20,1989,1992,Agelaius phoeniceus,Red-winged Blackbird,0.921,E:\Birds Canada east\46_64_22_yellow\EastAmherstMarsh_NS02-05_7\MMP-POPA07_20170603_200000.wav
EastAmherstMarsh,NS02-05,7,20170603,20,1998,2001,Agelaius phoeniceus,Red-winged Blackbird,0.7409,E:\Birds Canada east\46_64_22_yellow\EastAmherstMarsh_NS02-05_7\MMP-POPA07_20170603_200000.wav
