site,location,aru_id,date,hour,start,end,scientific_name,common_name,confidence,filepath
Midgic,NB38-06,12,20170608,07,408,411,Melospiza georgiana,Swamp Sparrow,0.877,E:\Birds Canada east\46_64_22_yellow\Midgic_NB38-06_12\MMP-POPA12_20170608_072200.wav
Midgic,NB38-06,12,20170608,07,420,423,Melospiza georgiana,Swamp Sparrow,0.8228,E:\Birds Canada east\46_64_22_yellow\Midgic_NB38-06_12\MMP-POPA12_20170608_072200.wav
Midgic,NB38-06,12,20170608,07,522,525,Melospiza georgiana,Swamp Sparrow,0.5728,E:\Birds Canada east\46_64_22_yellow\Midgic_NB38-06_12\MMP-POPA12_20170608_072200.wav
Midgic,NB38-06,12,20170608,07,588,591,Melospiza georgiana,Swamp Sparrow,0.6594,E:\Birds Canada east\46_64_22_yellow\Midgic_NB38-06_12\MMP-POPA12_20170608_072200.wav
Midgic,NB38-06,12,20170608,07,636,639,Melospiza georgiana,Swamp Sparrow,0.6324,E:\Birds Canada east\46_64_22_yellow\Midgic_NB38-06_12\MMP-POPA12_20170608_072200.wav
Midgic,NB38-06,12,20170608,07,660,663,Melospiza georgiana,Swamp Sparrow,0.6833,E:\Birds Canada east\46_64_22_yellow\Midgic_NB38-06_12\MMP-POPA12_20170608_072200.wav
Midgic,NB38-06,12,20170608,20,930,933,Melospiza georgiana,Swamp Sparrow,0.694,E:\Birds Canada east\46_64_22_yellow\Midgic_NB38-06_12\MMP-POPA12_20170608_200000.wav
Midgic,NB38-06,12,20170608,20,933,936,Melospiza georgiana,Swamp Sparrow,0.8049,E:\Birds Canada east\46_64_22_yellow\Midgic_NB38-06_12\MMP-POPA12_20170608_200000.wav
Midgic,NB38-06,12,20170608,20,945,948,Melospiza georgiana,Swamp Sparrow,0.6281,E:\Birds Canada east\46_64_22_yellow\Midgic_NB38-06_12\MMP-POPA12_20170608_200000.wav
Midgic,NB38-06,12,20170608,20,954,957,Melospiza georgiana,Swamp Sparrow,0.6674,E:\Birds Canada east\46_64_22_yellow\Midgic_NB38-06_12\MMP-POPA12_20170608_200000.wav
Midgic,NB38-06,12,20170608,21,39,42,Melospiza georgiana,Swamp Sparrow,0.5312,E:\Birds Canada east\46_64_22_yellow\Midgic_NB38-06_12\MMP-POPA12_20170608_210000.wav
Midgic,NB38-06,12,20170608,21,144,147,Melospiza georgiana,Swamp Sparrow,0.7672,E:\Birds Canada east\46_64_22_yellow\Midgic_NB38-06_12\MMP-POPA12_20170608_210000.wav
Midgic,NB38-06,12,20170608,21,237,240,Melospiza georgiana,Swamp Sparrow,0.7876,E:\Birds Canada east\46_64_22_yellow\Midgic_NB38-06_12\MMP-POPA12_20170608_210000.wav
Midgic,NB38-06,12,20170608,21,309,312,Melospiza georgiana,Swamp Sparrow,0.8208,E:\Birds Canada east\46_64_22_yellow\Midgic_NB38-06_12\MMP-POPA12_20170608_210000.wav
Midgic,NB38-06,12,20170608,21,357,360,Melospiza georgiana,Swamp Sparrow,0.8721,E:\Birds Canada east\46_64_22_yellow\Midgic_NB38-06_12\MMP-POPA12_20170608_210000.wav
Midgic,NB38-06,12,20170608,21,2658,2661,Pandion haliaetus,Osprey,0.5206,E:\Birds Canada east\46_64_22_yellow\Midgic_NB38-06_12\MMP-POPA12_20170608_210000.wav
Midgic,NB38-06,12,20170609,05,12,15,Setophaga petechia,Yellow Warbler,0.6892,E:\Birds Canada east\46_64_22_yellow\Midgic_NB38-06_12\MMP-POPA12_20170609_050000.wav
Midgic,NB38-06,12,20170609,05,33,36,Setophaga petechia,Yellow Warbler,0.925,E:\Birds Canada east\46_64_22_yellow\Midgic_NB38-06_12\MMP-POPA12_20170609_050000.wav
Midgic,NB38-06,12,20170609,05,39,42,Setophaga petechia,Yellow Warbler,0.505,E:\Birds Canada east\46_64_22_yellow\Midgic_NB38-06_12\MMP-POPA12_20170609_050000.wav
Midgic,NB38-06,12,20170609,05,42,45,Setophaga petechia,Yellow Warbler,0.5525,E:\Birds Canada east\46_64_22_yellow\Midgic_NB38-06_12\MMP-POPA12_20170609_050000.wav
Midgic,NB38-06,12,20170609,05,48,51,Setophaga petechia,Yellow Warbler,0.6545,E:\Birds Canada east\46_64_22_yellow\Midgic_NB38-06_12\MMP-POPA12_20170609_050000.wav
Midgic,NB38-06,12,20170609,05,57,60,Setophaga petechia,Yellow Warbler,0.8709,E:\Birds Canada east\46_64_22_yellow\Midgic_NB38-06_12\MMP-POPA12_20170609_050000.wav
Midgic,NB38-06,12,20170609,05,66,69,Setophaga petechia,Yellow Warbler,0.8713,E:\Birds Canada east\46_64_22_yellow\Midgic_NB38-06_12\MMP-POPA12_20170609_050000.wav
Midgic,NB38-06,12,20170609,05,165,168,Setophaga petechia,Yellow Warbler,0.8011,E:\Birds Canada east\46_64_22_yellow\Midgic_NB38-06_12\MMP-POPA12_20170609_050000.wav
Midgic,NB38-06,12,20170609,05,183,186,Setophaga petechia,Yellow Warbler,0.5453,E:\Birds Canada east\46_64_22_yellow\Midgic_NB38-06_12\MMP-POPA12_20170609_050000.wav
Midgic,NB38-06,12,20170609,05,237,240,Setophaga petechia,Yellow Warbler,0.5529,E:\Birds Canada east\46_64_22_yellow\Midgic_NB38-06_12\MMP-POPA12_20170609_050000.wav
Midgic,NB38-06,12,20170609,05,240,243,Setophaga petechia,Yellow Warbler,0.7391,E:\Birds Canada east\46_64_22_yellow\Midgic_NB38-06_12\MMP-POPA12_20170609_050000.wav
Midgic,NB38-06,12,20170609,05,312,315,Setophaga petechia,Yellow Warbler,0.56,E:\Birds Canada east\46_64_22_yellow\Midgic_NB38-06_12\MMP-POPA12_20170609_050000.wav
Midgic,NB38-06,12,20170609,05,321,324,Setophaga petechia,Yellow Warbler,0.6617,E:\Birds Canada east\46_64_22_yellow\Midgic_NB38-06_12\MMP-POPA12_20170609_050000.wav
Midgic,NB38-06,12,20170609,05,333,336,Setophaga petechia,Yellow Warbler,0.5376,E:\Birds Canada east\46_64_22_yellow\Midgic_NB38-06_12\MMP-POPA12_20170609_050000.wav
Midgic,NB38-06,12,20170609,05,336,339,Setophaga petechia,Yellow Warbler,0.7204,E:\Birds Canada east\46_64_22_yellow\Midgic_NB38-06_12\MMP-POPA12_20170609_050000.wav
Midgic,NB38-06,12,20170609,05,354,357,Setophaga petechia,Yellow Warbler,0.6552,E:\Birds Canada east\46_64_22_yellow\Midgic_NB38-06_12\MMP-POPA12_20170609_050000.wav
Midgic,NB38-06,12,20170609,05,372,375,Setophaga petechia,Yellow Warbler,0.7248,E:\Birds Canada east\46_64_22_yellow\Midgic_NB38-06_12\MMP-POPA12_20170609_050000.wav
Midgic,NB38-06,12,20170609,05,378,381,Agelaius phoeniceus,Red-winged Blackbird,0.8204,E:\Birds Canada east\46_64_22_yellow\Midgic_NB38-06_12\MMP-POPA12_20170609_050000.wav
Midgic,NB38-06,12,20170609,05,384,387,Setophaga petechia,Yellow Warbler,0.5865,E:\Birds Canada east\46_64_22_yellow\Midgic_NB38-06_12\MMP-POPA12_20170609_050000.wav
Midgic,NB38-06,12,20170609,05,387,390,Passerculus sandwichensis,Savannah Sparrow,0.5603,E:\Birds Canada east\46_64_22_yellow\Midgic_NB38-06_12\MMP-POPA12_20170609_050000.wav
Midgic,NB38-06,12,20170609,05,390,393,Setophaga petechia,Yellow Warbler,0.5572,E:\Birds Canada east\46_64_22_yellow\Midgic_NB38-06_12\MMP-POPA12_20170609_050000.wav
Midgic,NB38-06,12,20170609,05,435,438,Setophaga petechia,Yellow Warbler,0.5947,E:\Birds Canada east\46_64_22_yellow\Midgic_NB38-06_12\MMP-POPA12_20170609_050000.wav
Midgic,NB38-06,12,20170609,05,447,450,Setophaga petechia,Yellow Warbler,0.5134,E:\Birds Canada east\46_64_22_yellow\Midgic_NB38-06_12\MMP-POPA12_20170609_050000.wav
Midgic,NB38-06,12,20170609,05,456,459,Setophaga petechia,Yellow Warbler,0.5306,E:\Birds Canada east\46_64_22_yellow\Midgic_NB38-06_12\MMP-POPA12_20170609_050000.wav
Midgic,NB38-06,12,20170609,05,489,492,Setophaga petechia,Yellow Warbler,0.7636,E:\Birds Canada east\46_64_22_yellow\Midgic_NB38-06_12\MMP-POPA12_20170609_050000.wav
Midgic,NB38-06,12,20170609,05,498,501,Setophaga petechia,Yellow Warbler,0.7995,E:\Birds Canada east\46_64_22_yellow\Midgic_NB38-06_12\MMP-POPA12_20170609_050000.wav
Midgic,NB38-06,12,20170609,05,501,504,Setophaga petechia,Yellow Warbler,0.6153,E:\Birds Canada east\46_64_22_yellow\Midgic_NB38-06_12\MMP-POPA12_20170609_050000.wav
Midgic,NB38-06,12,20170609,05,507,510,Setophaga petechia,Yellow Warbler,0.734,E:\Birds Canada east\46_64_22_yellow\Midgic_NB38-06_12\MMP-POPA12_20170609_050000.wav
