site,location,aru_id,date,hour,start,end,scientific_name,common_name,confidence,filepath
Petitcodiac,NB41-02,3,20170626,05,60,63,Geothlypis trichas,Common Yellowthroat,0.5271,E:\Birds Canada east\Petitcodiac_NB41-02_3\MMP-POPA03_20170626_054024.wav
Petitcodiac,NB41-02,3,20170626,05,75,78,Geothlypis trichas,Common Yellowthroat,0.5843,E:\Birds Canada east\Petitcodiac_NB41-02_3\MMP-POPA03_20170626_054024.wav
Petitcodiac,NB41-02,3,20170626,05,153,156,Geothlypis trichas,Common Yellowthroat,0.5679,E:\Birds Canada east\Petitcodiac_NB41-02_3\MMP-POPA03_20170626_054024.wav
Petitcodiac,NB41-02,3,20170626,05,189,192,Geothlypis trichas,Common Yellowthroat,0.8391,E:\Birds Canada east\Petitcodiac_NB41-02_3\MMP-POPA03_20170626_054024.wav
Petitcodiac,NB41-02,3,20170626,05,216,219,Geothlypis trichas,Common Yellowthroat,0.6734,E:\Birds Canada east\Petitcodiac_NB41-02_3\MMP-POPA03_20170626_054024.wav
Petitcodiac,NB41-02,3,20170626,05,303,306,Melospiza georgiana,Swamp Sparrow,0.5304,E:\Birds Canada east\Petitcodiac_NB41-02_3\MMP-POPA03_20170626_054024.wav
Petitcodiac,NB41-02,3,20170626,05,327,330,Melospiza georgiana,Swamp Sparrow,0.8071,E:\Birds Canada east\Petitcodiac_NB41-02_3\MMP-POPA03_20170626_054024.wav
Petitcodiac,NB41-02,3,20170626,05,327,330,Junco hyemalis,Dark-eyed Junco,0.5411,E:\Birds Canada east\Petitcodiac_NB41-02_3\MMP-POPA03_20170626_054024.wav
Petitcodiac,NB41-02,3,20170626,05,342,345,Junco hyemalis,Dark-eyed Junco,0.6475,E:\Birds Canada east\Petitcodiac_NB41-02_3\MMP-POPA03_20170626_054024.wav
Petitcodiac,NB41-02,3,20170626,05,342,345,Melospiza georgiana,Swamp Sparrow,0.6354,E:\Birds Canada east\Petitcodiac_NB41-02_3\MMP-POPA03_20170626_054024.wav
Petitcodiac,NB41-02,3,20170626,05,357,360,Junco hyemalis,Dark-eyed Junco,0.5239,E:\Birds Canada east\Petitcodiac_NB41-02_3\MMP-POPA03_20170626_054024.wav
Petitcodiac,NB41-02,3,20170626,05,375,378,Melospiza georgiana,Swamp Sparrow,0.7671,E:\Birds Canada east\Petitcodiac_NB41-02_3\MMP-POPA03_20170626_054024.wav
Petitcodiac,NB41-02,3,20170626,05,417,420,Melospiza georgiana,Swamp Sparrow,0.5753,E:\Birds Canada east\Petitcodiac_NB41-02_3\MMP-POPA03_20170626_054024.wav
Petitcodiac,NB41-02,3,20170626,05,447,450,Melospiza georgiana,Swamp Sparrow,0.8484,E:\Birds Canada east\Petitcodiac_NB41-02_3\MMP-POPA03_20170626_054024.wav
Petitcodiac,NB41-02,3,20170626,05,447,450,Junco hyemalis,Dark-eyed Junco,0.5363,E:\Birds Canada east\Petitcodiac_NB41-02_3\MMP-POPA03_20170626_054024.wav
Petitcodiac,NB41-02,3,20170626,05,453,456,Anas platyrhynchos,Mallard,0.5834,E:\Birds Canada east\Petitcodiac_NB41-02_3\MMP-POPA03_20170626_054024.wav
Petitcodiac,NB41-02,3,20170626,05,462,465,Junco hyemalis,Dark-eyed Junco,0.702,E:\Birds Canada east\Petitcodiac_NB41-02_3\MMP-POPA03_20170626_054024.wav
Petitcodiac,NB41-02,3,20170626,05,462,465,Melospiza georgiana,Swamp Sparrow,0.5924,E:\Birds Canada east\Petitcodiac_NB41-02_3\MMP-POPA03_20170626_054024.wav
Petitcodiac,NB41-02,3,20170626,05,492,495,Junco hyemalis,Dark-eyed Junco,0.5297,E:\Birds Canada east\Petitcodiac_NB41-02_3\MMP-POPA03_20170626_054024.wav
Petitcodiac,NB41-02,3,20170626,05,507,510,Melospiza georgiana,Swamp Sparrow,0.7923,E:\Birds Canada east\Petitcodiac_NB41-02_3\MMP-POPA03_20170626_054024.wav
Petitcodiac,NB41-02,3,20170626,05,507,510,Junco hyemalis,Dark-eyed Junco,0.5187,E:\Birds Canada east\Petitcodiac_NB41-02_3\MMP-POPA03_20170626_054024.wav
Petitcodiac,NB41-02,3,20170626,05,822,825,Junco hyemalis,Dark-eyed Junco,0.7672,E:\Birds Canada east\Petitcodiac_NB41-02_3\MMP-POPA03_20170626_054024.wav
Petitcodiac,NB41-02,3,20170626,05,957,960,Junco hyemalis,Dark-eyed Junco,0.9665,E:\Birds Canada east\Petitcodiac_NB41-02_3\MMP-POPA03_20170626_054024.wav
Petitcodiac,NB41-02,3,20170626,05,969,972,Junco hyemalis,Dark-eyed Junco,0.9653,E:\Birds Canada east\Petitcodiac_NB41-02_3\MMP-POPA03_20170626_054024.wav
Petitcodiac,NB41-02,3,20170626,05,996,999,Melospiza georgiana,Swamp Sparrow,0.7779,E:\Birds Canada east\Petitcodiac_NB41-02_3\MMP-POPA03_20170626_054024.wav
Petitcodiac,NB41-02,3,20170626,05,996,999,Junco hyemalis,Dark-eyed Junco,0.7014,E:\Birds Canada east\Petitcodiac_NB41-02_3\MMP-POPA03_20170626_054024.wav
Petitcodiac,NB41-02,3,20170626,05,1011,1014,Junco hyemalis,Dark-eyed Junco,0.8589,E:\Birds Canada east\Petitcodiac_NB41-02_3\MMP-POPA03_20170626_054024.wav
Petitcodiac,NB41-02,3,20170626,05,1011,1014,Melospiza georgiana,Swamp Sparrow,0.5746,E:\Birds Canada east\Petitcodiac_NB41-02_3\MMP-POPA03_20170626_054024.wav
Petitcodiac,NB41-02,3,20170626,05,1032,1035,Melospiza georgiana,Swamp Sparrow,0.7101,E:\Birds Canada east\Petitcodiac_NB41-02_3\MMP-POPA03_20170626_054024.wav
Petitcodiac,NB41-02,3,20170626,05,1053,1056,Junco hyemalis,Dark-eyed Junco,0.5743,E:\Birds Canada east\Petitcodiac_NB41-02_3\MMP-POPA03_20170626_054024.wav
Petitcodiac,NB41-02,3,20170626,06,27,30,Melospiza georgiana,Swamp Sparrow,0.7813,E:\Birds Canada east\Petitcodiac_NB41-02_3\MMP-POPA03_20170626_060450.wav
Petitcodiac,NB41-02,3,20170626,06,42,45,Melospiza georgiana,Swamp Sparrow,0.754,E:\Birds Canada east\Petitcodiac_NB41-02_3\MMP-POPA03_20170626_060450.wav
Petitcodiac,NB41-02,3,20170626,06,63,66,Melospiza georgiana,Swamp Sparrow,0.637,E:\Birds Canada east\Petitcodiac_NB41-02_3\MMP-POPA03_20170626_060450.wav
Petitcodiac,NB41-02,3,20170626,06,84,87,Geothlypis trichas,Common Yellowthroat,0.6026,E:\Birds Canada east\Petitcodiac_NB41-02_3\MMP-POPA03_20170626_060450.wav
Petitcodiac,NB41-02,3,20170626,06,96,99,Melospiza georgiana,Swamp Sparrow,0.8167,E:\Birds Canada east\Petitcodiac_NB41-02_3\MMP-POPA03_20170626_060450.wav
Petitcodiac,NB41-02,3,20170626,06,99,102,Geothlypis trichas,Common Yellowthroat,0.6315,E:\Birds Canada east\Petitcodiac_NB41-02_3\MMP-POPA03_20170626_060450.wav
Petitcodiac,NB41-02,3,20170626,06,117,120,Actitis macularius,Spotted Sandpiper,0.5225,E:\Birds Canada east\Petitcodiac_NB41-02_3\MMP-POPA03_20170626_060450.wav
Petitcodiac,NB41-02,3,20170626,06,123,126,Melospiza georgiana,Swamp Sparrow,0.79,E:\Birds Canada east\Petitcodiac_NB41-02_3\MMP-POPA03_20170626_060450.wav
Petitcodiac,NB41-02,3,20170626,06,150,153,Melospiza georgiana,Swamp Sparrow,0.8509,E:\Birds Canada east\Petitcodiac_NB41-02_3\MMP-POPA03_20170626_060450.wav
Petitcodiac,NB41-02,3,20170626,06,192,195,Geothlypis trichas,Common Yellowthroat,0.5488,E:\Birds Canada east\Petitcodiac_NB41-02_3\MMP-POPA03_20170626_060450.wav
Petitcodiac,NB41-02,3,20170626,06,237,240,Anas platyrhynchos,Mallard,0.6293,E:\Birds Canada east\Petitcodiac_NB41-02_3\MMP-POPA03_20170626_060450.wav
Petitcodiac,NB41-02,3,20170626,06,240,243,Junco hyemalis,Dark-eyed Junco,0.6553,E:\Birds Canada east\Petitcodiac_NB41-02_3\MMP-POPA03_20170626_060450.wav
Petitcodiac,NB41-02,3,20170626,06,255,258,Melospiza melodia,Song Sparrow,0.9675,E:\Birds Canada east\Petitcodiac_NB41-02_3\MMP-POPA03_20170626_060450.wav
Petitcodiac,NB41-02,3,20170626,06,267,270,Melospiza melodia,Song Sparrow,0.5041,E:\Birds Canada east\Petitcodiac_NB41-02_3\MMP-POPA03_20170626_060450.wav
Petitcodiac,NB41-02,3,20170626,06,270,273,Melospiza georgiana,Swamp Sparrow,0.5827,E:\Birds Canada east\Petitcodiac_NB41-02_3\MMP-POPA03_20170626_060450.wav
Petitcodiac,NB41-02,3,20170626,06,276,279,Melospiza melodia,Song Sparrow,0.6777,E:\Birds Canada east\Petitcodiac_NB41-02_3\MMP-POPA03_20170626_060450.wav
Petitcodiac,NB41-02,3,20170626,06,300,303,Melospiza melodia,Song Sparrow,0.7766,E:\Birds Canada east\Petitcodiac_NB41-02_3\MMP-POPA03_20170626_060450.wav
Petitcodiac,NB41-02,3,20170626,06,321,324,Melospiza melodia,Song Sparrow,0.6201,E:\Birds Canada east\Petitcodiac_NB41-02_3\MMP-POPA03_20170626_060450.wav
Petitcodiac,NB41-02,3,20170626,06,330,333,Geothlypis trichas,Common Yellowthroat,0.534,E:\Birds Canada east\Petitcodiac_NB41-02_3\MMP-POPA03_20170626_060450.wav
Petitcodiac,NB41-02,3,20170626,06,333,336,Melospiza melodia,Song Sparrow,0.8333,E:\Birds Canada east\Petitcodiac_NB41-02_3\MMP-POPA03_20170626_060450.wav
Petitcodiac,NB41-02,3,20170626,06,345,348,Melospiza melodia,Song Sparrow,0.5322,E:\Birds Canada east\Petitcodiac_NB41-02_3\MMP-POPA03_20170626_060450.wav
Petitcodiac,NB41-02,3,20170626,06,357,360,Melospiza georgiana,Swamp Sparrow,0.6525,E:\Birds Canada east\Petitcodiac_NB41-02_3\MMP-POPA03_20170626_060450.wav
Petitcodiac,NB41-02,3,20170626,06,360,363,Agelaius phoeniceus,Red-winged Blackbird,0.5547,E:\Birds Canada east\Petitcodiac_NB41-02_3\MMP-POPA03_20170626_060450.wav
Petitcodiac,NB41-02,3,20170626,06,375,378,Geothlypis trichas,Common Yellowthroat,0.5724,E:\Birds Canada east\Petitcodiac_NB41-02_3\MMP-POPA03_20170626_060450.wav
Petitcodiac,NB41-02,3,20170626,06,387,390,Melospiza melodia,Song Sparrow,0.5433,E:\Birds Canada east\Petitcodiac_NB41-02_3\MMP-POPA03_20170626_060450.wav
Petitcodiac,NB41-02,3,20170626,06,399,402,Melospiza melodia,Song Sparrow,0.6619,E:\Birds Canada east\Petitcodiac_NB41-02_3\MMP-POPA03_20170626_060450.wav
Petitcodiac,NB41-02,3,20170626,06,417,420,Melospiza melodia,Song Sparrow,0.6547,E:\Birds Canada east\Petitcodiac_NB41-02_3\MMP-POPA03_20170626_060450.wav
Petitcodiac,NB41-02,3,20170626,06,429,432,Melospiza melodia,Song Sparrow,0.7651,E:\Birds Canada east\Petitcodiac_NB41-02_3\MMP-POPA03_20170626_060450.wav
Petitcodiac,NB41-02,3,20170626,06,447,450,Melospiza melodia,Song Sparrow,0.9336,E:\Birds Canada east\Petitcodiac_NB41-02_3\MMP-POPA03_20170626_060450.wav
Petitcodiac,NB41-02,3,20170626,06,462,465,Melospiza melodia,Song Sparrow,0.9888,E:\Birds Canada east\Petitcodiac_NB41-02_3\MMP-POPA03_20170626_060450.wav
Petitcodiac,NB41-02,3,20170626,06,477,480,Melospiza melodia,Song Sparrow,0.6937,E:\Birds Canada east\Petitcodiac_NB41-02_3\MMP-POPA03_20170626_060450.wav
Petitcodiac,NB41-02,3,20170626,06,489,492,Melospiza melodia,Song Sparrow,0.882,E:\Birds Canada east\Petitcodiac_NB41-02_3\MMP-POPA03_20170626_060450.wav
Petitcodiac,NB41-02,3,20170626,06,510,513,Melospiza melodia,Song Sparrow,0.715,E:\Birds Canada east\Petitcodiac_NB41-02_3\MMP-POPA03_20170626_060450.wav
Petitcodiac,NB41-02,3,20170626,06,522,525,Melospiza melodia,Song Sparrow,0.5369,E:\Birds Canada east\Petitcodiac_NB41-02_3\MMP-POPA03_20170626_060450.wav
Petitcodiac,NB41-02,3,20170626,06,531,534,Melospiza georgiana,Swamp Sparrow,0.7896,E:\Birds Canada east\Petitcodiac_NB41-02_3\MMP-POPA03_20170626_060450.wav
Petitcodiac,NB41-02,3,20170626,06,534,537,Melospiza melodia,Song Sparrow,0.9643,E:\Birds Canada east\Petitcodiac_NB41-02_3\MMP-POPA03_20170626_060450.wav
Petitcodiac,NB41-02,3,20170626,06,609,612,Melospiza georgiana,Swamp Sparrow,0.8725,E:\Birds Canada east\Petitcodiac_NB41-02_3\MMP-POPA03_20170626_060450.wav
