site,location,aru_id,date,hour,start,end,scientific_name,common_name,confidence,filepath
Fredericton,NB05-1-2,15,20190607,20,69,72,Rallus limicola,Virginia Rail,0.6108,E:\Birds Canada east\focal species analysis\Fredericton_NB05-1-2_15\POPA-15_20190607_200000.wav
Fredericton,NB05-1-2,15,20190607,20,150,153,Rallus limicola,Virginia Rail,0.7226,E:\Birds Canada east\focal species analysis\Fredericton_NB05-1-2_15\POPA-15_20190607_200000.wav
Fredericton,NB05-1-2,15,20190607,20,372,375,Rallus limicola,Virginia Rail,0.5958,E:\Birds Canada east\focal species analysis\Fredericton_NB05-1-2_15\POPA-15_20190607_200000.wav
Fredericton,NB05-1-2,15,20190607,20,411,414,Rallus limicola,Virginia Rail,0.8683,E:\Birds Canada east\focal species analysis\Fredericton_NB05-1-2_15\POPA-15_20190607_200000.wav
Fredericton,NB05-1-2,15,20190607,20,429,432,Rallus limicola,Virginia Rail,0.6418,E:\Birds Canada east\focal species analysis\Fredericton_NB05-1-2_15\POPA-15_20190607_200000.wav
Fredericton,NB05-1-2,15,20190607,20,456,459,Rallus limicola,Virginia Rail,0.5087,E:\Birds Canada east\focal species analysis\Fredericton_NB05-1-2_15\POPA-15_20190607_200000.wav
Fredericton,NB05-1-2,15,20190607,20,489,492,Rallus limicola,Virginia Rail,0.5701,E:\Birds Canada east\focal species analysis\Fredericton_NB05-1-2_15\POPA-15_20190607_200000.wav
Fredericton,NB05-1-2,15,20190607,20,516,519,Rallus limicola,Virginia Rail,0.5381,E:\Birds Canada east\focal species analysis\Fredericton_NB05-1-2_15\POPA-15_20190607_200000.wav
Fredericton,NB05-1-2,15,20190607,20,558,561,Rallus limicola,Virginia Rail,0.5422,E:\Birds Canada east\focal species analysis\Fredericton_NB05-1-2_15\POPA-15_20190607_200000.wav
Fredericton,NB05-1-2,15,20190607,20,654,657,Rallus limicola,Virginia Rail,0.5029,E:\Birds Canada east\focal species analysis\Fredericton_NB05-1-2_15\POPA-15_20190607_200000.wav
Fredericton,NB05-1-2,15,20190607,20,795,798,Rallus limicola,Virginia Rail,0.5403,E:\Birds Canada east\focal species analysis\Fredericton_NB05-1-2_15\POPA-15_20190607_200000.wav
Fredericton,NB05-1-2,15,20190607,20,816,819,Rallus limicola,Virginia Rail,0.7844,E:\Birds Canada east\focal species analysis\Fredericton_NB05-1-2_15\POPA-15_20190607_200000.wav
Fredericton,NB05-1-2,15,20190607,20,834,837,Rallus limicola,Virginia Rail,0.7123,E:\Birds Canada east\focal species analysis\Fredericton_NB05-1-2_15\POPA-15_20190607_200000.wav
Fredericton,NB05-1-2,15,20190607,20,258,261,Rallus limicola,Virginia Rail,0.5587,E:\Birds Canada east\focal species analysis\Fredericton_NB05-1-2_15\POPA-15_20190607_203000.wav
Fredericton,NB05-1-2,15,20190607,20,261,264,Rallus limicola,Virginia Rail,0.5956,E:\Birds Canada east\focal species analysis\Fredericton_NB05-1-2_15\POPA-15_20190607_203000.wav
Fredericton,NB05-1-2,15,20190607,20,450,453,Rallus limicola,Virginia Rail,0.9328,E:\Birds Canada east\focal species analysis\Fredericton_NB05-1-2_15\POPA-15_20190607_203000.wav
Fredericton,NB05-1-2,15,20190607,20,516,519,Rallus limicola,Virginia Rail,0.7285,E:\Birds Canada east\focal species analysis\Fredericton_NB05-1-2_15\POPA-15_20190607_203000.wav
Fredericton,NB05-1-2,15,20190607,20,624,627,Rallus limicola,Virginia Rail,0.7168,E:\Birds Canada east\focal species analysis\Fredericton_NB05-1-2_15\POPA-15_20190607_203000.wav
Fredericton,NB05-1-2,15,20190607,20,699,702,Rallus limicola,Virginia Rail,0.6036,E:\Birds Canada east\focal species analysis\Fredericton_NB05-1-2_15\POPA-15_20190607_203000.wav
Fredericton,NB05-1-2,15,20190607,20,714,717,Rallus limicola,Virginia Rail,0.7,E:\Birds Canada east\focal species analysis\Fredericton_NB05-1-2_15\POPA-15_20190607_203000.wav
Fredericton,NB05-1-2,15,20190607,20,726,729,Rallus limicola,Virginia Rail,0.6165,E:\Birds Canada east\focal species analysis\Fredericton_NB05-1-2_15\POPA-15_20190607_203000.wav
Fredericton,NB05-1-2,15,20190607,20,759,762,Rallus limicola,Virginia Rail,0.7261,E:\Birds Canada east\focal species analysis\Fredericton_NB05-1-2_15\POPA-15_20190607_203000.wav
Fredericton,NB05-1-2,15,20190607,20,771,774,Rallus limicola,Virginia Rail,0.9315,E:\Birds Canada east\focal species analysis\Fredericton_NB05-1-2_15\POPA-15_20190607_203000.wav
Fredericton,NB05-1-2,15,20190607,20,780,783,Rallus limicola,Virginia Rail,0.7838,E:\Birds Canada east\focal species analysis\Fredericton_NB05-1-2_15\POPA-15_20190607_203000.wav
Fredericton,NB05-1-2,15,20190607,21,804,807,Rallus limicola,Virginia Rail,0.6682,E:\Birds Canada east\focal species analysis\Fredericton_NB05-1-2_15\POPA-15_20190607_210000.wav
Fredericton,NB05-1-2,15,20190607,21,813,816,Rallus limicola,Virginia Rail,0.8065,E:\Birds Canada east\focal species analysis\Fredericton_NB05-1-2_15\POPA-15_20190607_210000.wav
Fredericton,NB05-1-2,15,20190607,21,834,837,Rallus limicola,Virginia Rail,0.8721,E:\Birds Canada east\focal species analysis\Fredericton_NB05-1-2_15\POPA-15_20190607_210000.wav
Fredericton,NB05-1-2,15,20190607,21,9,12,Rallus limicola,Virginia Rail,0.5725,E:\Birds Canada east\focal species analysis\Fredericton_NB05-1-2_15\POPA-15_20190607_213000.wav
Fredericton,NB05-1-2,15,20190607,21,12,15,Rallus limicola,Virginia Rail,0.9602,E:\Birds Canada east\focal species analysis\Fredericton_NB05-1-2_15\POPA-15_20190607_213000.wav
Fredericton,NB05-1-2,15,20190607,21,30,33,Rallus limicola,Virginia Rail,0.8882,E:\Birds Canada east\focal species analysis\Fredericton_NB05-1-2_15\POPA-15_20190607_213000.wav
Fredericton,NB05-1-2,15,20190607,21,39,42,Rallus limicola,Virginia Rail,0.869,E:\Birds Canada east\focal species analysis\Fredericton_NB05-1-2_15\POPA-15_20190607_213000.wav
Fredericton,NB05-1-2,15,20190607,21,66,69,Rallus limicola,Virginia Rail,0.8041,E:\Birds Canada east\focal species analysis\Fredericton_NB05-1-2_15\POPA-15_20190607_213000.wav
Fredericton,NB05-1-2,15,20190607,21,87,90,Rallus limicola,Virginia Rail,0.7646,E:\Birds Canada east\focal species analysis\Fredericton_NB05-1-2_15\POPA-15_20190607_213000.wav
Fredericton,NB05-1-2,15,20190607,21,129,132,Rallus limicola,Virginia Rail,0.792,E:\Birds Canada east\focal species analysis\Fredericton_NB05-1-2_15\POPA-15_20190607_213000.wav
Fredericton,NB05-1-2,15,20190607,21,135,138,Rallus limicola,Virginia Rail,0.8279,E:\Birds Canada east\focal species analysis\Fredericton_NB05-1-2_15\POPA-15_20190607_213000.wav
Fredericton,NB05-1-2,15,20190607,21,153,156,Rallus limicola,Virginia Rail,0.8664,E:\Birds Canada east\focal species analysis\Fredericton_NB05-1-2_15\POPA-15_20190607_213000.wav
Fredericton,NB05-1-2,15,20190607,21,198,201,Rallus limicola,Virginia Rail,0.9785,E:\Birds Canada east\focal species analysis\Fredericton_NB05-1-2_15\POPA-15_20190607_213000.wav
Fredericton,NB05-1-2,15,20190607,21,201,204,Rallus limicola,Virginia Rail,0.579,E:\Birds Canada east\focal species analysis\Fredericton_NB05-1-2_15\POPA-15_20190607_213000.wav
Fredericton,NB05-1-2,15,20190607,21,207,210,Rallus limicola,Virginia Rail,0.7778,E:\Birds Canada east\focal species analysis\Fredericton_NB05-1-2_15\POPA-15_20190607_213000.wav
Fredericton,NB05-1-2,15,20190607,21,216,219,Rallus limicola,Virginia Rail,0.9805,E:\Birds Canada east\focal species analysis\Fredericton_NB05-1-2_15\POPA-15_20190607_213000.wav
Fredericton,NB05-1-2,15,20190607,21,225,228,Rallus limicola,Virginia Rail,0.5358,E:\Birds Canada east\focal species analysis\Fredericton_NB05-1-2_15\POPA-15_20190607_213000.wav
Fredericton,NB05-1-2,15,20190607,21,234,237,Rallus limicola,Virginia Rail,0.5226,E:\Birds Canada east\focal species analysis\Fredericton_NB05-1-2_15\POPA-15_20190607_213000.wav
Fredericton,NB05-1-2,15,20190607,21,240,243,Rallus limicola,Virginia Rail,0.8184,E:\Birds Canada east\focal species analysis\Fredericton_NB05-1-2_15\POPA-15_20190607_213000.wav
Fredericton,NB05-1-2,15,20190607,21,252,255,Rallus limicola,Virginia Rail,0.907,E:\Birds Canada east\focal species analysis\Fredericton_NB05-1-2_15\POPA-15_20190607_213000.wav
Fredericton,NB05-1-2,15,20190607,21,261,264,Rallus limicola,Virginia Rail,0.8133,E:\Birds Canada east\focal species analysis\Fredericton_NB05-1-2_15\POPA-15_20190607_213000.wav
Fredericton,NB05-1-2,15,20190607,21,309,312,Rallus limicola,Virginia Rail,0.78,E:\Birds Canada east\focal species analysis\Fredericton_NB05-1-2_15\POPA-15_20190607_213000.wav
Fredericton,NB05-1-2,15,20190607,21,318,321,Rallus limicola,Virginia Rail,0.8609,E:\Birds Canada east\focal species analysis\Fredericton_NB05-1-2_15\POPA-15_20190607_213000.wav
Fredericton,NB05-1-2,15,20190607,21,327,330,Rallus limicola,Virginia Rail,0.9459,E:\Birds Canada east\focal species analysis\Fredericton_NB05-1-2_15\POPA-15_20190607_213000.wav
Fredericton,NB05-1-2,15,20190607,21,345,348,Rallus limicola,Virginia Rail,0.6155,E:\Birds Canada east\focal species analysis\Fredericton_NB05-1-2_15\POPA-15_20190607_213000.wav
Fredericton,NB05-1-2,15,20190607,21,351,354,Rallus limicola,Virginia Rail,0.6356,E:\Birds Canada east\focal species analysis\Fredericton_NB05-1-2_15\POPA-15_20190607_213000.wav
Fredericton,NB05-1-2,15,20190607,21,366,369,Rallus limicola,Virginia Rail,0.8919,E:\Birds Canada east\focal species analysis\Fredericton_NB05-1-2_15\POPA-15_20190607_213000.wav
Fredericton,NB05-1-2,15,20190607,21,375,378,Rallus limicola,Virginia Rail,0.8665,E:\Birds Canada east\focal species analysis\Fredericton_NB05-1-2_15\POPA-15_20190607_213000.wav
Fredericton,NB05-1-2,15,20190607,21,384,387,Rallus limicola,Virginia Rail,0.5862,E:\Birds Canada east\focal species analysis\Fredericton_NB05-1-2_15\POPA-15_20190607_213000.wav
Fredericton,NB05-1-2,15,20190607,21,390,393,Rallus limicola,Virginia Rail,0.5131,E:\Birds Canada east\focal species analysis\Fredericton_NB05-1-2_15\POPA-15_20190607_213000.wav
Fredericton,NB05-1-2,15,20190607,21,405,408,Rallus limicola,Virginia Rail,0.5446,E:\Birds Canada east\focal species analysis\Fredericton_NB05-1-2_15\POPA-15_20190607_213000.wav
Fredericton,NB05-1-2,15,20190607,21,414,417,Rallus limicola,Virginia Rail,0.7572,E:\Birds Canada east\focal species analysis\Fredericton_NB05-1-2_15\POPA-15_20190607_213000.wav
Fredericton,NB05-1-2,15,20190607,21,435,438,Rallus limicola,Virginia Rail,0.7341,E:\Birds Canada east\focal species analysis\Fredericton_NB05-1-2_15\POPA-15_20190607_213000.wav
Fredericton,NB05-1-2,15,20190607,21,453,456,Rallus limicola,Virginia Rail,0.8917,E:\Birds Canada east\focal species analysis\Fredericton_NB05-1-2_15\POPA-15_20190607_213000.wav
Fredericton,NB05-1-2,15,20190607,21,465,468,Rallus limicola,Virginia Rail,0.7084,E:\Birds Canada east\focal species analysis\Fredericton_NB05-1-2_15\POPA-15_20190607_213000.wav
Fredericton,NB05-1-2,15,20190607,21,486,489,Rallus limicola,Virginia Rail,0.8688,E:\Birds Canada east\focal species analysis\Fredericton_NB05-1-2_15\POPA-15_20190607_213000.wav
Fredericton,NB05-1-2,15,20190607,21,513,516,Rallus limicola,Virginia Rail,0.9955,E:\Birds Canada east\focal species analysis\Fredericton_NB05-1-2_15\POPA-15_20190607_213000.wav
Fredericton,NB05-1-2,15,20190607,21,519,522,Rallus limicola,Virginia Rail,0.7659,E:\Birds Canada east\focal species analysis\Fredericton_NB05-1-2_15\POPA-15_20190607_213000.wav
Fredericton,NB05-1-2,15,20190607,21,582,585,Botaurus lentiginosus,American Bittern,0.6021,E:\Birds Canada east\focal species analysis\Fredericton_NB05-1-2_15\POPA-15_20190607_213000.wav
Fredericton,NB05-1-2,15,20190607,21,591,594,Rallus limicola,Virginia Rail,0.7696,E:\Birds Canada east\focal species analysis\Fredericton_NB05-1-2_15\POPA-15_20190607_213000.wav
Fredericton,NB05-1-2,15,20190607,21,633,636,Rallus limicola,Virginia Rail,0.6794,E:\Birds Canada east\focal species analysis\Fredericton_NB05-1-2_15\POPA-15_20190607_213000.wav
Fredericton,NB05-1-2,15,20190607,21,636,639,Rallus limicola,Virginia Rail,0.5769,E:\Birds Canada east\focal species analysis\Fredericton_NB05-1-2_15\POPA-15_20190607_213000.wav
Fredericton,NB05-1-2,15,20190607,21,642,645,Rallus limicola,Virginia Rail,0.8085,E:\Birds Canada east\focal species analysis\Fredericton_NB05-1-2_15\POPA-15_20190607_213000.wav
Fredericton,NB05-1-2,15,20190607,21,675,678,Rallus limicola,Virginia Rail,0.6634,E:\Birds Canada east\focal species analysis\Fredericton_NB05-1-2_15\POPA-15_20190607_213000.wav
Fredericton,NB05-1-2,15,20190607,21,687,690,Rallus limicola,Virginia Rail,0.7054,E:\Birds Canada east\focal species analysis\Fredericton_NB05-1-2_15\POPA-15_20190607_213000.wav
Fredericton,NB05-1-2,15,20190607,21,717,720,Rallus limicola,Virginia Rail,0.8476,E:\Birds Canada east\focal species analysis\Fredericton_NB05-1-2_15\POPA-15_20190607_213000.wav
Fredericton,NB05-1-2,15,20190607,21,768,771,Rallus limicola,Virginia Rail,0.7334,E:\Birds Canada east\focal species analysis\Fredericton_NB05-1-2_15\POPA-15_20190607_213000.wav
Fredericton,NB05-1-2,15,20190607,21,771,774,Rallus limicola,Virginia Rail,0.8718,E:\Birds Canada east\focal species analysis\Fredericton_NB05-1-2_15\POPA-15_20190607_213000.wav
Fredericton,NB05-1-2,15,20190607,21,855,858,Rallus limicola,Virginia Rail,0.8659,E:\Birds Canada east\focal species analysis\Fredericton_NB05-1-2_15\POPA-15_20190607_213000.wav
Fredericton,NB05-1-2,15,20190607,21,897,900,Rallus limicola,Virginia Rail,0.8142,E:\Birds Canada east\focal species analysis\Fredericton_NB05-1-2_15\POPA-15_20190607_213000.wav
Fredericton,NB05-1-2,15,20190607,22,27,30,Rallus limicola,Virginia Rail,0.8123,E:\Birds Canada east\focal species analysis\Fredericton_NB05-1-2_15\POPA-15_20190607_220000.wav
Fredericton,NB05-1-2,15,20190607,22,30,33,Rallus limicola,Virginia Rail,0.6939,E:\Birds Canada east\focal species analysis\Fredericton_NB05-1-2_15\POPA-15_20190607_220000.wav
Fredericton,NB05-1-2,15,20190607,22,42,45,Rallus limicola,Virginia Rail,0.6781,E:\Birds Canada east\focal species analysis\Fredericton_NB05-1-2_15\POPA-15_20190607_220000.wav
Fredericton,NB05-1-2,15,20190607,22,48,51,Rallus limicola,Virginia Rail,0.6463,E:\Birds Canada east\focal species analysis\Fredericton_NB05-1-2_15\POPA-15_20190607_220000.wav
Fredericton,NB05-1-2,15,20190607,22,54,57,Rallus limicola,Virginia Rail,0.6001,E:\Birds Canada east\focal species analysis\Fredericton_NB05-1-2_15\POPA-15_20190607_220000.wav
Fredericton,NB05-1-2,15,20190607,22,63,66,Rallus limicola,Virginia Rail,0.844,E:\Birds Canada east\focal species analysis\Fredericton_NB05-1-2_15\POPA-15_20190607_220000.wav
Fredericton,NB05-1-2,15,20190607,22,66,69,Rallus limicola,Virginia Rail,0.6402,E:\Birds Canada east\focal species analysis\Fredericton_NB05-1-2_15\POPA-15_20190607_220000.wav
