site,location,aru_id,date,hour,start,end,scientific_name,common_name,confidence,filepath
HoldenMeadow,NB13-11,20,20170525,20,177,180,Vireo gilvus,Warbling Vireo,0.7414,E:\Birds Canada east\focal species analysis\HoldenMeadow_NB13-11_20\MMP-POPA20_20170525_200000.wav
HoldenMeadow,NB13-11,20,20170525,20,2502,2505,Vireo gilvus,Warbling Vireo,0.7623,E:\Birds Canada east\focal species analysis\HoldenMeadow_NB13-11_20\MMP-POPA20_20170525_200000.wav
HoldenMeadow,NB13-11,20,20170526,20,3207,3210,Vireo gilvus,Warbling Vireo,0.7959,E:\Birds Canada east\focal species analysis\HoldenMeadow_NB13-11_20\MMP-POPA20_20170526_200000.wav
HoldenMeadow,NB13-11,20,20170527,05,3489,3492,Vireo gilvus,Warbling Vireo,0.731,E:\Birds Canada east\focal species analysis\HoldenMeadow_NB13-11_20\MMP-POPA20_20170527_050000.wav
HoldenMeadow,NB13-11,20,20170527,05,3516,3519,Vireo gilvus,Warbling Vireo,0.8117,E:\Birds Canada east\focal species analysis\HoldenMeadow_NB13-11_20\MMP-POPA20_20170527_050000.wav
HoldenMeadow,NB13-11,20,20170527,06,147,150,Vireo gilvus,Warbling Vireo,0.5924,E:\Birds Canada east\focal species analysis\HoldenMeadow_NB13-11_20\MMP-POPA20_20170527_060000.wav
HoldenMeadow,NB13-11,20,20170527,06,246,249,Vireo gilvus,Warbling Vireo,0.5666,E:\Birds Canada east\focal species analysis\HoldenMeadow_NB13-11_20\MMP-POPA20_20170527_060000.wav
HoldenMeadow,NB13-11,20,20170527,06,279,282,Vireo gilvus,Warbling Vireo,0.5344,E:\Birds Canada east\focal species analysis\HoldenMeadow_NB13-11_20\MMP-POPA20_20170527_060000.wav
HoldenMeadow,NB13-11,20,20170527,06,333,336,Vireo gilvus,Warbling Vireo,0.5305,E:\Birds Canada east\focal species analysis\HoldenMeadow_NB13-11_20\MMP-POPA20_20170527_060000.wav
HoldenMeadow,NB13-11,20,20170527,06,351,354,Vireo gilvus,Warbling Vireo,0.6164,E:\Birds Canada east\focal species analysis\HoldenMeadow_NB13-11_20\MMP-POPA20_20170527_060000.wav
HoldenMeadow,NB13-11,20,20170527,06,381,384,Vireo gilvus,Warbling Vireo,0.6639,E:\Birds Canada east\focal species analysis\HoldenMeadow_NB13-11_20\MMP-POPA20_20170527_060000.wav
HoldenMeadow,NB13-11,20,20170527,06,420,423,Vireo gilvus,Warbling Vireo,0.6544,E:\Birds Canada east\focal species analysis\HoldenMeadow_NB13-11_20\MMP-POPA20_20170527_060000.wav
HoldenMeadow,NB13-11,20,20170527,06,453,456,Vireo gilvus,Warbling Vireo,0.5831,E:\Birds Canada east\focal species analysis\HoldenMeadow_NB13-11_20\MMP-POPA20_20170527_060000.wav
HoldenMeadow,NB13-11,20,20170527,06,456,459,Vireo gilvus,Warbling Vireo,0.6033,E:\Birds Canada east\focal species analysis\HoldenMeadow_NB13-11_20\MMP-POPA20_20170527_060000.wav
HoldenMeadow,NB13-11,20,20170527,06,555,558,Vireo gilvus,Warbling Vireo,0.725,E:\Birds Canada east\focal species analysis\HoldenMeadow_NB13-11_20\MMP-POPA20_20170527_060000.wav
HoldenMeadow,NB13-11,20,20170527,07,303,306,Vireo gilvus,Warbling Vireo,0.8666,E:\Birds Canada east\focal species analysis\HoldenMeadow_NB13-11_20\MMP-POPA20_20170527_070000.wav
HoldenMeadow,NB13-11,20,20170527,20,1830,1833,Vireo gilvus,Warbling Vireo,0.6769,E:\Birds Canada east\focal species analysis\HoldenMeadow_NB13-11_20\MMP-POPA20_20170527_200000.wav
HoldenMeadow,NB13-11,20,20170528,05,3501,3504,Vireo gilvus,Warbling Vireo,0.6294,E:\Birds Canada east\focal species analysis\HoldenMeadow_NB13-11_20\MMP-POPA20_20170528_050000.wav
HoldenMeadow,NB13-11,20,20170528,06,75,78,Vireo gilvus,Warbling Vireo,0.6716,E:\Birds Canada east\focal species analysis\HoldenMeadow_NB13-11_20\MMP-POPA20_20170528_060000.wav
HoldenMeadow,NB13-11,20,20170528,06,81,84,Vireo gilvus,Warbling Vireo,0.7334,E:\Birds Canada east\focal species analysis\HoldenMeadow_NB13-11_20\MMP-POPA20_20170528_060000.wav
HoldenMeadow,NB13-11,20,20170528,06,93,96,Vireo gilvus,Warbling Vireo,0.6674,E:\Birds Canada east\focal species analysis\HoldenMeadow_NB13-11_20\MMP-POPA20_20170528_060000.wav
HoldenMeadow,NB13-11,20,20170528,06,843,846,Vireo gilvus,Warbling Vireo,0.7032,E:\Birds Canada east\focal species analysis\HoldenMeadow_NB13-11_20\MMP-POPA20_20170528_060000.wav
HoldenMeadow,NB13-11,20,20170528,06,864,867,Vireo gilvus,Warbling Vireo,0.5267,E:\Birds Canada east\focal species analysis\HoldenMeadow_NB13-11_20\MMP-POPA20_20170528_060000.wav
HoldenMeadow,NB13-11,20,20170528,07,570,573,Vireo gilvus,Warbling Vireo,0.5376,E:\Birds Canada east\focal species analysis\HoldenMeadow_NB13-11_20\MMP-POPA20_20170528_070000.wav
HoldenMeadow,NB13-11,20,20170529,07,321,324,Vireo gilvus,Warbling Vireo,0.505,E:\Birds Canada east\focal species analysis\HoldenMeadow_NB13-11_20\MMP-POPA20_20170529_070000.wav
HoldenMeadow,NB13-11,20,20170529,07,333,336,Vireo gilvus,Warbling Vireo,0.7952,E:\Birds Canada east\focal species analysis\HoldenMeadow_NB13-11_20\MMP-POPA20_20170529_070000.wav
