site,location,aru_id,date,hour,start,end,scientific_name,common_name,confidence,filepath
Midgic,NB38-06,12,20170608,07,309,312,Ixobrychus exilis,Least Bittern,0.9481,E:\Birds Canada east\focal species analysis\Midgic_NB38-06_12\MMP-POPA12_20170608_072200.wav
Midgic,NB38-06,12,20170608,07,369,372,Ammospiza nelsoni,Nelson's Sparrow,0.8118,E:\Birds Canada east\focal species analysis\Midgic_NB38-06_12\MMP-POPA12_20170608_072200.wav
Midgic,NB38-06,12,20170608,07,372,375,Ammospiza nelsoni,Nelson's Sparrow,0.8451,E:\Birds Canada east\focal species analysis\Midgic_NB38-06_12\MMP-POPA12_20170608_072200.wav
Midgic,NB38-06,12,20170608,07,378,381,Ammospiza nelsoni,Nelson's Sparrow,0.7551,E:\Birds Canada east\focal species analysis\Midgic_NB38-06_12\MMP-POPA12_20170608_072200.wav
Midgic,NB38-06,12,20170608,07,381,384,Ammospiza nelsoni,Nelson's Sparrow,0.9121,E:\Birds Canada east\focal species analysis\Midgic_NB38-06_12\MMP-POPA12_20170608_072200.wav
Midgic,NB38-06,12,20170608,07,387,390,Ammospiza nelsoni,Nelson's Sparrow,0.9879,E:\Birds Canada east\focal species analysis\Midgic_NB38-06_12\MMP-POPA12_20170608_072200.wav
Midgic,NB38-06,12,20170608,07,390,393,Ammospiza nelsoni,Nelson's Sparrow,0.5522,E:\Birds Canada east\focal species analysis\Midgic_NB38-06_12\MMP-POPA12_20170608_072200.wav
Midgic,NB38-06,12,20170608,07,393,396,Ammospiza nelsoni,Nelson's Sparrow,0.9218,E:\Birds Canada east\focal species analysis\Midgic_NB38-06_12\MMP-POPA12_20170608_072200.wav
Midgic,NB38-06,12,20170608,07,510,513,Porzana carolina,Sora,0.9482,E:\Birds Canada east\focal species analysis\Midgic_NB38-06_12\MMP-POPA12_20170608_072200.wav
Midgic,NB38-06,12,20170608,07,513,516,Porzana carolina,Sora,0.8267,E:\Birds Canada east\focal species analysis\Midgic_NB38-06_12\MMP-POPA12_20170608_072200.wav
Midgic,NB38-06,12,20170608,07,516,519,Porzana carolina,Sora,0.6701,E:\Birds Canada east\focal species analysis\Midgic_NB38-06_12\MMP-POPA12_20170608_072200.wav
Midgic,NB38-06,12,20170608,07,549,552,Podilymbus podiceps,Pied-billed Grebe,0.7904,E:\Birds Canada east\focal species analysis\Midgic_NB38-06_12\MMP-POPA12_20170608_072200.wav
Midgic,NB38-06,12,20170608,07,552,555,Podilymbus podiceps,Pied-billed Grebe,0.687,E:\Birds Canada east\focal species analysis\Midgic_NB38-06_12\MMP-POPA12_20170608_072200.wav
Midgic,NB38-06,12,20170608,07,555,558,Podilymbus podiceps,Pied-billed Grebe,0.6528,E:\Birds Canada east\focal species analysis\Midgic_NB38-06_12\MMP-POPA12_20170608_072200.wav
Midgic,NB38-06,12,20170608,07,558,561,Podilymbus podiceps,Pied-billed Grebe,0.9638,E:\Birds Canada east\focal species analysis\Midgic_NB38-06_12\MMP-POPA12_20170608_072200.wav
Midgic,NB38-06,12,20170608,07,570,573,Podilymbus podiceps,Pied-billed Grebe,0.8479,E:\Birds Canada east\focal species analysis\Midgic_NB38-06_12\MMP-POPA12_20170608_072200.wav
Midgic,NB38-06,12,20170608,07,573,576,Podilymbus podiceps,Pied-billed Grebe,0.9324,E:\Birds Canada east\focal species analysis\Midgic_NB38-06_12\MMP-POPA12_20170608_072200.wav
Midgic,NB38-06,12,20170608,07,576,579,Podilymbus podiceps,Pied-billed Grebe,0.9591,E:\Birds Canada east\focal species analysis\Midgic_NB38-06_12\MMP-POPA12_20170608_072200.wav
Midgic,NB38-06,12,20170608,20,2607,2610,Chaetura pelagica,Chimney Swift,0.6591,E:\Birds Canada east\focal species analysis\Midgic_NB38-06_12\MMP-POPA12_20170608_200000.wav
Midgic,NB38-06,12,20170609,05,2751,2754,Podilymbus podiceps,Pied-billed Grebe,0.6398,E:\Birds Canada east\focal species analysis\Midgic_NB38-06_12\MMP-POPA12_20170609_050000.wav
Midgic,NB38-06,12,20170609,07,555,558,Dolichonyx oryzivorus,Bobolink,0.8366,E:\Birds Canada east\focal species analysis\Midgic_NB38-06_12\MMP-POPA12_20170609_070000.wav
Midgic,NB38-06,12,20170609,07,624,627,Rallus limicola,Virginia Rail,0.5419,E:\Birds Canada east\focal species analysis\Midgic_NB38-06_12\MMP-POPA12_20170609_070000.wav
Midgic,NB38-06,12,20170610,05,3372,3375,Porzana carolina,Sora,0.985,E:\Birds Canada east\focal species analysis\Midgic_NB38-06_12\MMP-POPA12_20170610_050000.wav
Midgic,NB38-06,12,20170610,05,3375,3378,Porzana carolina,Sora,0.936,E:\Birds Canada east\focal species analysis\Midgic_NB38-06_12\MMP-POPA12_20170610_050000.wav
Midgic,NB38-06,12,20170610,06,831,834,Porzana carolina,Sora,0.9847,E:\Birds Canada east\focal species analysis\Midgic_NB38-06_12\MMP-POPA12_20170610_060000.wav
Midgic,NB38-06,12,20170610,06,834,837,Porzana carolina,Sora,0.9493,E:\Birds Canada east\focal species analysis\Midgic_NB38-06_12\MMP-POPA12_20170610_060000.wav
Midgic,NB38-06,12,20170610,20,1332,1335,Podilymbus podiceps,Pied-billed Grebe,0.7512,E:\Birds Canada east\focal species analysis\Midgic_NB38-06_12\MMP-POPA12_20170610_200000.wav
Midgic,NB38-06,12,20170610,20,1338,1341,Podilymbus podiceps,Pied-billed Grebe,0.9137,E:\Birds Canada east\focal species analysis\Midgic_NB38-06_12\MMP-POPA12_20170610_200000.wav
Midgic,NB38-06,12,20170610,20,1341,1344,Podilymbus podiceps,Pied-billed Grebe,0.631,E:\Birds Canada east\focal species analysis\Midgic_NB38-06_12\MMP-POPA12_20170610_200000.wav
Midgic,NB38-06,12,20170610,20,1347,1350,Podilymbus podiceps,Pied-billed Grebe,0.8868,E:\Birds Canada east\focal species analysis\Midgic_NB38-06_12\MMP-POPA12_20170610_200000.wav
Midgic,NB38-06,12,20170610,20,1350,1353,Podilymbus podiceps,Pied-billed Grebe,0.8664,E:\Birds Canada east\focal species analysis\Midgic_NB38-06_12\MMP-POPA12_20170610_200000.wav
Midgic,NB38-06,12,20170610,20,1356,1359,Podilymbus podiceps,Pied-billed Grebe,0.9279,E:\Birds Canada east\focal species analysis\Midgic_NB38-06_12\MMP-POPA12_20170610_200000.wav
Midgic,NB38-06,12,20170610,20,1359,1362,Podilymbus podiceps,Pied-billed Grebe,0.9929,E:\Birds Canada east\focal species analysis\Midgic_NB38-06_12\MMP-POPA12_20170610_200000.wav
Midgic,NB38-06,12,20170610,20,1362,1365,Podilymbus podiceps,Pied-billed Grebe,0.9264,E:\Birds Canada east\focal species analysis\Midgic_NB38-06_12\MMP-POPA12_20170610_200000.wav
Midgic,NB38-06,12,20170610,20,1365,1368,Podilymbus podiceps,Pied-billed Grebe,0.6797,E:\Birds Canada east\focal species analysis\Midgic_NB38-06_12\MMP-POPA12_20170610_200000.wav
Midgic,NB38-06,12,20170610,20,1371,1374,Podilymbus podiceps,Pied-billed Grebe,0.9219,E:\Birds Canada east\focal species analysis\Midgic_NB38-06_12\MMP-POPA12_20170610_200000.wav
Midgic,NB38-06,12,20170610,20,1374,1377,Podilymbus podiceps,Pied-billed Grebe,0.8972,E:\Birds Canada east\focal species analysis\Midgic_NB38-06_12\MMP-POPA12_20170610_200000.wav
Midgic,NB38-06,12,20170610,20,1377,1380,Podilymbus podiceps,Pied-billed Grebe,0.7726,E:\Birds Canada east\focal species analysis\Midgic_NB38-06_12\MMP-POPA12_20170610_200000.wav
Midgic,NB38-06,12,20170610,20,1380,1383,Podilymbus podiceps,Pied-billed Grebe,0.6605,E:\Birds Canada east\focal species analysis\Midgic_NB38-06_12\MMP-POPA12_20170610_200000.wav
Midgic,NB38-06,12,20170610,20,1383,1386,Podilymbus podiceps,Pied-billed Grebe,0.8202,E:\Birds Canada east\focal species analysis\Midgic_NB38-06_12\MMP-POPA12_20170610_200000.wav
Midgic,NB38-06,12,20170610,20,3063,3066,Podilymbus podiceps,Pied-billed Grebe,0.7442,E:\Birds Canada east\focal species analysis\Midgic_NB38-06_12\MMP-POPA12_20170610_200000.wav
Midgic,NB38-06,12,20170610,20,3066,3069,Podilymbus podiceps,Pied-billed Grebe,0.5016,E:\Birds Canada east\focal species analysis\Midgic_NB38-06_12\MMP-POPA12_20170610_200000.wav
Midgic,NB38-06,12,20170610,21,216,219,Botaurus lentiginosus,American Bittern,0.86240000000000006,E:\Birds Canada east\focal species analysis\Midgic_NB38-06_12\MMP-POPA12_20170610_210000.wav
Midgic,NB38-06,12,20170610,21,219,222,Botaurus lentiginosus,American Bittern,0.501,E:\Birds Canada east\focal species analysis\Midgic_NB38-06_12\MMP-POPA12_20170610_210000.wav
Midgic,NB38-06,12,20170610,21,276,279,Botaurus lentiginosus,American Bittern,0.5118,E:\Birds Canada east\focal species analysis\Midgic_NB38-06_12\MMP-POPA12_20170610_210000.wav
Midgic,NB38-06,12,20170610,21,309,312,Botaurus lentiginosus,American Bittern,0.7184,E:\Birds Canada east\focal species analysis\Midgic_NB38-06_12\MMP-POPA12_20170610_210000.wav
Midgic,NB38-06,12,20170610,21,345,348,Botaurus lentiginosus,American Bittern,0.5252,E:\Birds Canada east\focal species analysis\Midgic_NB38-06_12\MMP-POPA12_20170610_210000.wav
Midgic,NB38-06,12,20170610,21,402,405,Botaurus lentiginosus,American Bittern,0.547,E:\Birds Canada east\focal species analysis\Midgic_NB38-06_12\MMP-POPA12_20170610_210000.wav
Midgic,NB38-06,12,20170610,21,471,474,Botaurus lentiginosus,American Bittern,0.555,E:\Birds Canada east\focal species analysis\Midgic_NB38-06_12\MMP-POPA12_20170610_210000.wav
Midgic,NB38-06,12,20170610,21,549,552,Botaurus lentiginosus,American Bittern,0.5956,E:\Birds Canada east\focal species analysis\Midgic_NB38-06_12\MMP-POPA12_20170610_210000.wav
Midgic,NB38-06,12,20170610,21,615,618,Botaurus lentiginosus,American Bittern,0.7353,E:\Birds Canada east\focal species analysis\Midgic_NB38-06_12\MMP-POPA12_20170610_210000.wav
Midgic,NB38-06,12,20170610,21,618,621,Botaurus lentiginosus,American Bittern,0.7475,E:\Birds Canada east\focal species analysis\Midgic_NB38-06_12\MMP-POPA12_20170610_210000.wav
Midgic,NB38-06,12,20170610,21,684,687,Botaurus lentiginosus,American Bittern,0.7461,E:\Birds Canada east\focal species analysis\Midgic_NB38-06_12\MMP-POPA12_20170610_210000.wav
Midgic,NB38-06,12,20170610,21,807,810,Botaurus lentiginosus,American Bittern,0.6982,E:\Birds Canada east\focal species analysis\Midgic_NB38-06_12\MMP-POPA12_20170610_210000.wav
Midgic,NB38-06,12,20170610,21,882,885,Botaurus lentiginosus,American Bittern,0.9186,E:\Birds Canada east\focal species analysis\Midgic_NB38-06_12\MMP-POPA12_20170610_210000.wav
Midgic,NB38-06,12,20170610,21,1104,1107,Botaurus lentiginosus,American Bittern,0.9724,E:\Birds Canada east\focal species analysis\Midgic_NB38-06_12\MMP-POPA12_20170610_210000.wav
Midgic,NB38-06,12,20170610,21,1383,1386,Botaurus lentiginosus,American Bittern,0.6567,E:\Birds Canada east\focal species analysis\Midgic_NB38-06_12\MMP-POPA12_20170610_210000.wav
Midgic,NB38-06,12,20170610,21,1389,1392,Botaurus lentiginosus,American Bittern,0.7357,E:\Birds Canada east\focal species analysis\Midgic_NB38-06_12\MMP-POPA12_20170610_210000.wav
Midgic,NB38-06,12,20170610,21,1452,1455,Botaurus lentiginosus,American Bittern,0.6221,E:\Birds Canada east\focal species analysis\Midgic_NB38-06_12\MMP-POPA12_20170610_210000.wav
Midgic,NB38-06,12,20170610,21,1584,1587,Botaurus lentiginosus,American Bittern,0.6084,E:\Birds Canada east\focal species analysis\Midgic_NB38-06_12\MMP-POPA12_20170610_210000.wav
Midgic,NB38-06,12,20170610,21,1686,1689,Botaurus lentiginosus,American Bittern,0.714,E:\Birds Canada east\focal species analysis\Midgic_NB38-06_12\MMP-POPA12_20170610_210000.wav
Midgic,NB38-06,12,20170610,21,2235,2238,Botaurus lentiginosus,American Bittern,0.8003,E:\Birds Canada east\focal species analysis\Midgic_NB38-06_12\MMP-POPA12_20170610_210000.wav
Midgic,NB38-06,12,20170610,21,2319,2322,Botaurus lentiginosus,American Bittern,0.816,E:\Birds Canada east\focal species analysis\Midgic_NB38-06_12\MMP-POPA12_20170610_210000.wav
Midgic,NB38-06,12,20170611,04,30,33,Chordeiles minor,Common Nighthawk,0.9762,E:\Birds Canada east\focal species analysis\Midgic_NB38-06_12\MMP-POPA12_20170611_040000.wav
Midgic,NB38-06,12,20170611,04,33,36,Chordeiles minor,Common Nighthawk,0.8533,E:\Birds Canada east\focal species analysis\Midgic_NB38-06_12\MMP-POPA12_20170611_040000.wav
