site,location,aru_id,date,hour,start,end,scientific_name,common_name,confidence,filepath
Musquash,NB51-02,11,20150626,05,78,81,Podilymbus podiceps,Pied-billed Grebe,0.7923,E:\Birds Canada east\focal species analysis\Musquash_NB51-02_11\MMP-POPA11_20150626_054052.wav
Musquash,NB51-02,11,20150626,05,309,312,Ixobrychus exilis,Least Bittern,0.8655,E:\Birds Canada east\focal species analysis\Musquash_NB51-02_11\MMP-POPA11_20150626_054052.wav
Musquash,NB51-02,11,20150626,05,312,315,Ixobrychus exilis,Least Bittern,0.9299,E:\Birds Canada east\focal species analysis\Musquash_NB51-02_11\MMP-POPA11_20150626_054052.wav
Musquash,NB51-02,11,20150626,05,315,318,Ixobrychus exilis,Least Bittern,0.9937,E:\Birds Canada east\focal species analysis\Musquash_NB51-02_11\MMP-POPA11_20150626_054052.wav
Musquash,NB51-02,11,20150626,05,318,321,Ixobrychus exilis,Least Bittern,0.7995,E:\Birds Canada east\focal species analysis\Musquash_NB51-02_11\MMP-POPA11_20150626_054052.wav
Musquash,NB51-02,11,20150626,05,330,333,Ixobrychus exilis,Least Bittern,0.8826,E:\Birds Canada east\focal species analysis\Musquash_NB51-02_11\MMP-POPA11_20150626_054052.wav
Musquash,NB51-02,11,20150626,05,336,339,Ixobrychus exilis,Least Bittern,0.9916,E:\Birds Canada east\focal species analysis\Musquash_NB51-02_11\MMP-POPA11_20150626_054052.wav
Musquash,NB51-02,11,20150626,05,339,342,Ixobrychus exilis,Least Bittern,0.8127,E:\Birds Canada east\focal species analysis\Musquash_NB51-02_11\MMP-POPA11_20150626_054052.wav
Musquash,NB51-02,11,20150626,05,369,372,Ammospiza nelsoni,Nelson's Sparrow,0.7615,E:\Birds Canada east\focal species analysis\Musquash_NB51-02_11\MMP-POPA11_20150626_054052.wav
Musquash,NB51-02,11,20150626,05,375,378,Ammospiza nelsoni,Nelson's Sparrow,0.9869,E:\Birds Canada east\focal species analysis\Musquash_NB51-02_11\MMP-POPA11_20150626_054052.wav
Musquash,NB51-02,11,20150626,05,381,384,Ammospiza nelsoni,Nelson's Sparrow,0.9976,E:\Birds Canada east\focal species analysis\Musquash_NB51-02_11\MMP-POPA11_20150626_054052.wav
