site,location,aru_id,date,hour,start,end,scientific_name,common_name,confidence,filepath
Ward,NB36-03,13,20190612,20,6,9,Ixobrychus exilis,Least Bittern,0.9995,E:\Birds Canada east\focal species analysis\Ward_NB36-03_13\MMP-POPA13_20190612_200000.wav
Ward,NB36-03,13,20190612,20,12,15,Ixobrychus exilis,Least Bittern,0.9904,E:\Birds Canada east\focal species analysis\Ward_NB36-03_13\MMP-POPA13_20190612_200000.wav
Ward,NB36-03,13,20190612,20,24,27,Ixobrychus exilis,Least Bittern,0.9099,E:\Birds Canada east\focal species analysis\Ward_NB36-03_13\MMP-POPA13_20190612_200000.wav
Ward,NB36-03,13,20190612,20,27,30,Botaurus lentiginosus,American Bittern,0.9887,E:\Birds Canada east\focal species analysis\Ward_NB36-03_13\MMP-POPA13_20190612_200000.wav
Ward,NB36-03,13,20190612,20,48,51,Ixobrychus exilis,Least Bittern,0.9239,E:\Birds Canada east\focal species analysis\Ward_NB36-03_13\MMP-POPA13_20190612_200000.wav
Ward,NB36-03,13,20190612,20,54,57,Ixobrychus exilis,Least Bittern,0.9951,E:\Birds Canada east\focal species analysis\Ward_NB36-03_13\MMP-POPA13_20190612_200000.wav
Ward,NB36-03,13,20190612,20,63,66,Ixobrychus exilis,Least Bittern,0.7198,E:\Birds Canada east\focal species analysis\Ward_NB36-03_13\MMP-POPA13_20190612_200000.wav
Ward,NB36-03,13,20190612,20,90,93,Botaurus lentiginosus,American Bittern,0.9198,E:\Birds Canada east\focal species analysis\Ward_NB36-03_13\MMP-POPA13_20190612_200000.wav
Ward,NB36-03,13,20190612,20,93,96,Botaurus lentiginosus,American Bittern,0.9885,E:\Birds Canada east\focal species analysis\Ward_NB36-03_13\MMP-POPA13_20190612_200000.wav
Ward,NB36-03,13,20190612,20,156,159,Botaurus lentiginosus,American Bittern,0.6783,E:\Birds Canada east\focal species analysis\Ward_NB36-03_13\MMP-POPA13_20190612_200000.wav
Ward,NB36-03,13,20190612,20,159,162,Botaurus lentiginosus,American Bittern,0.995,E:\Birds Canada east\focal species analysis\Ward_NB36-03_13\MMP-POPA13_20190612_200000.wav
Ward,NB36-03,13,20190612,20,162,165,Botaurus lentiginosus,American Bittern,0.9964,E:\Birds Canada east\focal species analysis\Ward_NB36-03_13\MMP-POPA13_20190612_200000.wav
Ward,NB36-03,13,20190612,20,240,243,Botaurus lentiginosus,American Bittern,0.9893,E:\Birds Canada east\focal species analysis\Ward_NB36-03_13\MMP-POPA13_20190612_200000.wav
Ward,NB36-03,13,20190612,20,243,246,Botaurus lentiginosus,American Bittern,0.9865,E:\Birds Canada east\focal species analysis\Ward_NB36-03_13\MMP-POPA13_20190612_200000.wav
Ward,NB36-03,13,20190612,20,360,363,Botaurus lentiginosus,American Bittern,0.954,E:\Birds Canada east\focal species analysis\Ward_NB36-03_13\MMP-POPA13_20190612_200000.wav
Ward,NB36-03,13,20190612,20,363,366,Botaurus lentiginosus,American Bittern,0.9952,E:\Birds Canada east\focal species analysis\Ward_NB36-03_13\MMP-POPA13_20190612_200000.wav
Ward,NB36-03,13,20190612,20,408,411,Botaurus lentiginosus,American Bittern,0.7657,E:\Birds Canada east\focal species analysis\Ward_NB36-03_13\MMP-POPA13_20190612_200000.wav
Ward,NB36-03,13,20190612,20,417,420,Botaurus lentiginosus,American Bittern,0.9896,E:\Birds Canada east\focal species analysis\Ward_NB36-03_13\MMP-POPA13_20190612_200000.wav
Ward,NB36-03,13,20190612,20,420,423,Botaurus lentiginosus,American Bittern,0.9791,E:\Birds Canada east\focal species analysis\Ward_NB36-03_13\MMP-POPA13_20190612_200000.wav
Ward,NB36-03,13,20190612,20,477,480,Ixobrychus exilis,Least Bittern,0.6227,E:\Birds Canada east\focal species analysis\Ward_NB36-03_13\MMP-POPA13_20190612_200000.wav
Ward,NB36-03,13,20190612,20,561,564,Botaurus lentiginosus,American Bittern,0.9386,E:\Birds Canada east\focal species analysis\Ward_NB36-03_13\MMP-POPA13_20190612_200000.wav
Ward,NB36-03,13,20190612,20,564,567,Botaurus lentiginosus,American Bittern,0.9809,E:\Birds Canada east\focal species analysis\Ward_NB36-03_13\MMP-POPA13_20190612_200000.wav
Ward,NB36-03,13,20190612,20,603,606,Ixobrychus exilis,Least Bittern,0.7874,E:\Birds Canada east\focal species analysis\Ward_NB36-03_13\MMP-POPA13_20190612_200000.wav
Ward,NB36-03,13,20190612,20,630,633,Ixobrychus exilis,Least Bittern,0.9359,E:\Birds Canada east\focal species analysis\Ward_NB36-03_13\MMP-POPA13_20190612_200000.wav
Ward,NB36-03,13,20190612,20,657,660,Rallus limicola,Virginia Rail,0.9827,E:\Birds Canada east\focal species analysis\Ward_NB36-03_13\MMP-POPA13_20190612_200000.wav
Ward,NB36-03,13,20190612,20,675,678,Botaurus lentiginosus,American Bittern,0.9955,E:\Birds Canada east\focal species analysis\Ward_NB36-03_13\MMP-POPA13_20190612_200000.wav
Ward,NB36-03,13,20190612,20,678,681,Botaurus lentiginosus,American Bittern,0.9902,E:\Birds Canada east\focal species analysis\Ward_NB36-03_13\MMP-POPA13_20190612_200000.wav
Ward,NB36-03,13,20190612,20,693,696,Ixobrychus exilis,Least Bittern,0.9863,E:\Birds Canada east\focal species analysis\Ward_NB36-03_13\MMP-POPA13_20190612_200000.wav
Ward,NB36-03,13,20190612,20,705,708,Ixobrychus exilis,Least Bittern,0.9893,E:\Birds Canada east\focal species analysis\Ward_NB36-03_13\MMP-POPA13_20190612_200000.wav
Ward,NB36-03,13,20190612,20,723,726,Ixobrychus exilis,Least Bittern,0.9528,E:\Birds Canada east\focal species analysis\Ward_NB36-03_13\MMP-POPA13_20190612_200000.wav
Ward,NB36-03,13,20190612,20,735,738,Ixobrychus exilis,Least Bittern,0.5775,E:\Birds Canada east\focal species analysis\Ward_NB36-03_13\MMP-POPA13_20190612_200000.wav
Ward,NB36-03,13,20190612,20,738,741,Botaurus lentiginosus,American Bittern,0.9976,E:\Birds Canada east\focal species analysis\Ward_NB36-03_13\MMP-POPA13_20190612_200000.wav
Ward,NB36-03,13,20190612,20,741,744,Botaurus lentiginosus,American Bittern,0.9971,E:\Birds Canada east\focal species analysis\Ward_NB36-03_13\MMP-POPA13_20190612_200000.wav
Ward,NB36-03,13,20190612,20,813,816,Botaurus lentiginosus,American Bittern,0.9902,E:\Birds Canada east\focal species analysis\Ward_NB36-03_13\MMP-POPA13_20190612_200000.wav
Ward,NB36-03,13,20190612,20,816,819,Botaurus lentiginosus,American Bittern,0.9939,E:\Birds Canada east\focal species analysis\Ward_NB36-03_13\MMP-POPA13_20190612_200000.wav
Ward,NB36-03,13,20190612,20,42,45,Ixobrychus exilis,Least Bittern,0.8616,E:\Birds Canada east\focal species analysis\Ward_NB36-03_13\MMP-POPA13_20190612_203000.wav
Ward,NB36-03,13,20190612,20,231,234,Botaurus lentiginosus,American Bittern,0.9949,E:\Birds Canada east\focal species analysis\Ward_NB36-03_13\MMP-POPA13_20190612_203000.wav
Ward,NB36-03,13,20190612,20,321,324,Botaurus lentiginosus,American Bittern,0.9983,E:\Birds Canada east\focal species analysis\Ward_NB36-03_13\MMP-POPA13_20190612_203000.wav
Ward,NB36-03,13,20190612,20,324,327,Botaurus lentiginosus,American Bittern,0.9909,E:\Birds Canada east\focal species analysis\Ward_NB36-03_13\MMP-POPA13_20190612_203000.wav
Ward,NB36-03,13,20190612,20,459,462,Botaurus lentiginosus,American Bittern,0.5341,E:\Birds Canada east\focal species analysis\Ward_NB36-03_13\MMP-POPA13_20190612_203000.wav
Ward,NB36-03,13,20190612,20,462,465,Botaurus lentiginosus,American Bittern,0.9987,E:\Birds Canada east\focal species analysis\Ward_NB36-03_13\MMP-POPA13_20190612_203000.wav
Ward,NB36-03,13,20190612,20,489,492,Ixobrychus exilis,Least Bittern,0.9991,E:\Birds Canada east\focal species analysis\Ward_NB36-03_13\MMP-POPA13_20190612_203000.wav
Ward,NB36-03,13,20190612,20,570,573,Ixobrychus exilis,Least Bittern,0.822,E:\Birds Canada east\focal species analysis\Ward_NB36-03_13\MMP-POPA13_20190612_203000.wav
Ward,NB36-03,13,20190612,20,579,582,Ixobrychus exilis,Least Bittern,0.7528,E:\Birds Canada east\focal species analysis\Ward_NB36-03_13\MMP-POPA13_20190612_203000.wav
Ward,NB36-03,13,20190612,20,588,591,Ixobrychus exilis,Least Bittern,0.9902,E:\Birds Canada east\focal species analysis\Ward_NB36-03_13\MMP-POPA13_20190612_203000.wav
Ward,NB36-03,13,20190612,20,633,636,Botaurus lentiginosus,American Bittern,0.7572,E:\Birds Canada east\focal species analysis\Ward_NB36-03_13\MMP-POPA13_20190612_203000.wav
Ward,NB36-03,13,20190612,20,636,639,Botaurus lentiginosus,American Bittern,0.9067,E:\Birds Canada east\focal species analysis\Ward_NB36-03_13\MMP-POPA13_20190612_203000.wav
Ward,NB36-03,13,20190612,20,711,714,Botaurus lentiginosus,American Bittern,0.9562,E:\Birds Canada east\focal species analysis\Ward_NB36-03_13\MMP-POPA13_20190612_203000.wav
Ward,NB36-03,13,20190612,20,714,717,Botaurus lentiginosus,American Bittern,0.994,E:\Birds Canada east\focal species analysis\Ward_NB36-03_13\MMP-POPA13_20190612_203000.wav
Ward,NB36-03,13,20190612,20,780,783,Botaurus lentiginosus,American Bittern,0.9954,E:\Birds Canada east\focal species analysis\Ward_NB36-03_13\MMP-POPA13_20190612_203000.wav
Ward,NB36-03,13,20190612,20,864,867,Rallus limicola,Virginia Rail,0.6487,E:\Birds Canada east\focal species analysis\Ward_NB36-03_13\MMP-POPA13_20190612_203000.wav
Ward,NB36-03,13,20190612,21,96,99,Botaurus lentiginosus,American Bittern,0.9707,E:\Birds Canada east\focal species analysis\Ward_NB36-03_13\MMP-POPA13_20190612_210000.wav
Ward,NB36-03,13,20190612,21,99,102,Botaurus lentiginosus,American Bittern,0.9922,E:\Birds Canada east\focal species analysis\Ward_NB36-03_13\MMP-POPA13_20190612_210000.wav
Ward,NB36-03,13,20190612,21,525,528,Botaurus lentiginosus,American Bittern,0.9887,E:\Birds Canada east\focal species analysis\Ward_NB36-03_13\MMP-POPA13_20190612_210000.wav
Ward,NB36-03,13,20190612,21,528,531,Botaurus lentiginosus,American Bittern,0.9933,E:\Birds Canada east\focal species analysis\Ward_NB36-03_13\MMP-POPA13_20190612_210000.wav
