filepath,start,end,scientific_name,common_name,confidence,lat,lon,week,overlap,sensitivity,min_conf,species_list,model
E:\Birds Canada east\Beaubassin_NB35-01_4\MMP-POPA04_20170617_060000.wav,12.0,15.0,Anas platyrhynchos,Mallard,0.6758,46.0000,-64.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
E:\Birds Canada east\Beaubassin_NB35-01_4\MMP-POPA04_20170617_060000.wav,15.0,18.0,Anas platyrhynchos,Mallard,0.5802,46.0000,-64.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
E:\Birds Canada east\Beaubassin_NB35-01_4\MMP-POPA04_20170617_060000.wav,114.0,117.0,Tachycineta bicolor,Tree Swallow,0.7934,46.0000,-64.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
E:\Birds Canada east\Beaubassin_NB35-01_4\MMP-POPA04_20170617_060000.wav,117.0,120.0,Tachycineta bicolor,Tree Swallow,0.6191,46.0000,-64.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
E:\Birds Canada east\Beaubassin_NB35-01_4\MMP-POPA04_20170617_060000.wav,219.0,222.0,Tachycineta bicolor,Tree Swallow,0.5830,46.0000,-64.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
E:\Birds Canada east\Beaubassin_NB35-01_4\MMP-POPA04_20170617_060000.wav,249.0,252.0,Tachycineta bicolor,Tree Swallow,0.5781,46.0000,-64.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
E:\Birds Canada east\Beaubassin_NB35-01_4\MMP-POPA04_20170617_060000.wav,324.0,327.0,Tachycineta bicolor,Tree Swallow,0.8377,46.0000,-64.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
E:\Birds Canada east\Beaubassin_NB35-01_4\MMP-POPA04_20170617_060000.wav,342.0,345.0,Tachycineta bicolor,Tree Swallow,0.5797,46.0000,-64.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
E:\Birds Canada east\Beaubassin_NB35-01_4\MMP-POPA04_20170617_060000.wav,747.0,750.0,Tachycineta bicolor,Tree Swallow,0.7460,46.0000,-64.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
E:\Birds Canada east\Beaubassin_NB35-01_4\MMP-POPA04_20170617_060000.wav,825.0,828.0,Tachycineta bicolor,Tree Swallow,0.5762,46.0000,-64.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
E:\Birds Canada east\Beaubassin_NB35-01_4\MMP-POPA04_20170617_060000.wav,828.0,831.0,Tachycineta bicolor,Tree Swallow,0.5496,46.0000,-64.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
E:\Birds Canada east\Beaubassin_NB35-01_4\MMP-POPA04_20170617_060000.wav,876.0,879.0,Tachycineta bicolor,Tree Swallow,0.8395,46.0000,-64.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
E:\Birds Canada east\Beaubassin_NB35-01_4\MMP-POPA04_20170617_060000.wav,879.0,882.0,Tachycineta bicolor,Tree Swallow,0.6291,46.0000,-64.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
E:\Birds Canada east\Beaubassin_NB35-01_4\MMP-POPA04_20170617_060000.wav,882.0,885.0,Tachycineta bicolor,Tree Swallow,0.9664,46.0000,-64.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
