filepath,start,end,scientific_name,common_name,confidence,lat,lon,week,overlap,sensitivity,min_conf,species_list,model
E:\Birds Canada east\Tintamarre_NB34-05_1\MMP-POPA01_20170611_060000.wav,12.0,15.0,Melospiza georgiana,Swamp Sparrow,0.6758,46.0000,-64.0000,23,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
E:\Birds Canada east\Tintamarre_NB34-05_1\MMP-POPA01_20170611_060000.wav,111.0,114.0,Melospiza georgiana,Swamp Sparrow,0.7926,46.0000,-64.0000,23,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
E:\Birds Canada east\Tintamarre_NB34-05_1\MMP-POPA01_20170611_060000.wav,363.0,366.0,Agelaius phoeniceus,Red-winged Blackbird,0.5029,46.0000,-64.0000,23,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
E:\Birds Canada east\Tintamarre_NB34-05_1\MMP-POPA01_20170611_060000.wav,432.0,435.0,Junco hyemalis,Dark-eyed Junco,0.6210,46.0000,-64.0000,23,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
E:\Birds Canada east\Tintamarre_NB34-05_1\MMP-POPA01_20170611_060000.wav,447.0,450.0,Melospiza georgiana,Swamp Sparrow,0.6867,46.0000,-64.0000,23,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
E:\Birds Canada east\Tintamarre_NB34-05_1\MMP-POPA01_20170611_060000.wav,468.0,471.0,Zenaida macroura,Mourning Dove,0.5190,46.0000,-64.0000,23,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
E:\Birds Canada east\Tintamarre_NB34-05_1\MMP-POPA01_20170611_060000.wav,501.0,504.0,Agelaius phoeniceus,Red-winged Blackbird,0.5072,46.0000,-64.0000,23,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
E:\Birds Canada east\Tintamarre_NB34-05_1\MMP-POPA01_20170611_060000.wav,504.0,507.0,Agelaius phoeniceus,Red-winged Blackbird,0.5466,46.0000,-64.0000,23,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
E:\Birds Canada east\Tintamarre_NB34-05_1\MMP-POPA01_20170611_060000.wav,726.0,729.0,Agelaius phoeniceus,Red-winged Blackbird,0.6424,46.0000,-64.0000,23,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
E:\Birds Canada east\Tintamarre_NB34-05_1\MMP-POPA01_20170611_060000.wav,792.0,795.0,Agelaius phoeniceus,Red-winged Blackbird,0.7324,46.0000,-64.0000,23,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
