filepath,start,end,scientific_name,common_name,confidence,lat,lon,week,overlap,sensitivity,min_conf,species_list,model
E:\Birds Canada east\Beaubassin_NB35-01_4\MMP-POPA04_20170617_050000.wav,12.0,15.0,Tachycineta bicolor,Tree Swallow,0.7479,46.0000,-64.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
E:\Birds Canada east\Beaubassin_NB35-01_4\MMP-POPA04_20170617_050000.wav,18.0,21.0,Tachycineta bicolor,Tree Swallow,0.5887,46.0000,-64.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
E:\Birds Canada east\Beaubassin_NB35-01_4\MMP-POPA04_20170617_050000.wav,27.0,30.0,Tachycineta bicolor,Tree Swallow,0.9071,46.0000,-64.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
E:\Birds Canada east\Beaubassin_NB35-01_4\MMP-POPA04_20170617_050000.wav,33.0,36.0,Tachycineta bicolor,Tree Swallow,0.8541,46.0000,-64.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
E:\Birds Canada east\Beaubassin_NB35-01_4\MMP-POPA04_20170617_050000.wav,36.0,39.0,Tachycineta bicolor,Tree Swallow,0.7960,46.0000,-64.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
E:\Birds Canada east\Beaubassin_NB35-01_4\MMP-POPA04_20170617_050000.wav,39.0,42.0,Tachycineta bicolor,Tree Swallow,0.6918,46.0000,-64.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
E:\Birds Canada east\Beaubassin_NB35-01_4\MMP-POPA04_20170617_050000.wav,45.0,48.0,Tachycineta bicolor,Tree Swallow,0.9276,46.0000,-64.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
E:\Birds Canada east\Beaubassin_NB35-01_4\MMP-POPA04_20170617_050000.wav,51.0,54.0,Tachycineta bicolor,Tree Swallow,0.6943,46.0000,-64.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
E:\Birds Canada east\Beaubassin_NB35-01_4\MMP-POPA04_20170617_050000.wav,54.0,57.0,Tachycineta bicolor,Tree Swallow,0.9241,46.0000,-64.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
E:\Birds Canada east\Beaubassin_NB35-01_4\MMP-POPA04_20170617_050000.wav,57.0,60.0,Tachycineta bicolor,Tree Swallow,0.8512,46.0000,-64.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
E:\Birds Canada east\Beaubassin_NB35-01_4\MMP-POPA04_20170617_050000.wav,66.0,69.0,Tachycineta bicolor,Tree Swallow,0.5798,46.0000,-64.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
E:\Birds Canada east\Beaubassin_NB35-01_4\MMP-POPA04_20170617_050000.wav,69.0,72.0,Tachycineta bicolor,Tree Swallow,0.9493,46.0000,-64.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
E:\Birds Canada east\Beaubassin_NB35-01_4\MMP-POPA04_20170617_050000.wav,72.0,75.0,Tachycineta bicolor,Tree Swallow,0.8570,46.0000,-64.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
E:\Birds Canada east\Beaubassin_NB35-01_4\MMP-POPA04_20170617_050000.wav,93.0,96.0,Tachycineta bicolor,Tree Swallow,0.5382,46.0000,-64.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
E:\Birds Canada east\Beaubassin_NB35-01_4\MMP-POPA04_20170617_050000.wav,102.0,105.0,Tachycineta bicolor,Tree Swallow,0.5387,46.0000,-64.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
E:\Birds Canada east\Beaubassin_NB35-01_4\MMP-POPA04_20170617_050000.wav,105.0,108.0,Tachycineta bicolor,Tree Swallow,0.6250,46.0000,-64.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
E:\Birds Canada east\Beaubassin_NB35-01_4\MMP-POPA04_20170617_050000.wav,117.0,120.0,Tachycineta bicolor,Tree Swallow,0.7192,46.0000,-64.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
E:\Birds Canada east\Beaubassin_NB35-01_4\MMP-POPA04_20170617_050000.wav,129.0,132.0,Tachycineta bicolor,Tree Swallow,0.7317,46.0000,-64.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
E:\Birds Canada east\Beaubassin_NB35-01_4\MMP-POPA04_20170617_050000.wav,198.0,201.0,Tachycineta bicolor,Tree Swallow,0.5198,46.0000,-64.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
E:\Birds Canada east\Beaubassin_NB35-01_4\MMP-POPA04_20170617_050000.wav,429.0,432.0,Melospiza georgiana,Swamp Sparrow,0.7163,46.0000,-64.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
E:\Birds Canada east\Beaubassin_NB35-01_4\MMP-POPA04_20170617_050000.wav,477.0,480.0,Melospiza georgiana,Swamp Sparrow,0.5549,46.0000,-64.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
E:\Birds Canada east\Beaubassin_NB35-01_4\MMP-POPA04_20170617_050000.wav,501.0,504.0,Melospiza georgiana,Swamp Sparrow,0.7401,46.0000,-64.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
E:\Birds Canada east\Beaubassin_NB35-01_4\MMP-POPA04_20170617_050000.wav,504.0,507.0,Melospiza georgiana,Swamp Sparrow,0.6943,46.0000,-64.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
E:\Birds Canada east\Beaubassin_NB35-01_4\MMP-POPA04_20170617_050000.wav,510.0,513.0,Melospiza georgiana,Swamp Sparrow,0.6379,46.0000,-64.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
E:\Birds Canada east\Beaubassin_NB35-01_4\MMP-POPA04_20170617_050000.wav,516.0,519.0,Melospiza georgiana,Swamp Sparrow,0.6972,46.0000,-64.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
E:\Birds Canada east\Beaubassin_NB35-01_4\MMP-POPA04_20170617_050000.wav,519.0,522.0,Melospiza georgiana,Swamp Sparrow,0.9201,46.0000,-64.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
E:\Birds Canada east\Beaubassin_NB35-01_4\MMP-POPA04_20170617_050000.wav,522.0,525.0,Melospiza georgiana,Swamp Sparrow,0.9323,46.0000,-64.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
E:\Birds Canada east\Beaubassin_NB35-01_4\MMP-POPA04_20170617_050000.wav,525.0,528.0,Melospiza georgiana,Swamp Sparrow,0.7117,46.0000,-64.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
E:\Birds Canada east\Beaubassin_NB35-01_4\MMP-POPA04_20170617_050000.wav,546.0,549.0,Melospiza georgiana,Swamp Sparrow,0.7182,46.0000,-64.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
E:\Birds Canada east\Beaubassin_NB35-01_4\MMP-POPA04_20170617_050000.wav,549.0,552.0,Melospiza georgiana,Swamp Sparrow,0.8400,46.0000,-64.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
E:\Birds Canada east\Beaubassin_NB35-01_4\MMP-POPA04_20170617_050000.wav,552.0,555.0,Melospiza georgiana,Swamp Sparrow,0.5518,46.0000,-64.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
E:\Birds Canada east\Beaubassin_NB35-01_4\MMP-POPA04_20170617_050000.wav,555.0,558.0,Melospiza georgiana,Swamp Sparrow,0.6452,46.0000,-64.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
E:\Birds Canada east\Beaubassin_NB35-01_4\MMP-POPA04_20170617_050000.wav,558.0,561.0,Melospiza georgiana,Swamp Sparrow,0.8318,46.0000,-64.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
E:\Birds Canada east\Beaubassin_NB35-01_4\MMP-POPA04_20170617_050000.wav,561.0,564.0,Melospiza georgiana,Swamp Sparrow,0.5201,46.0000,-64.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
E:\Birds Canada east\Beaubassin_NB35-01_4\MMP-POPA04_20170617_050000.wav,567.0,570.0,Melospiza georgiana,Swamp Sparrow,0.7514,46.0000,-64.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
E:\Birds Canada east\Beaubassin_NB35-01_4\MMP-POPA04_20170617_050000.wav,570.0,573.0,Melospiza georgiana,Swamp Sparrow,0.6884,46.0000,-64.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
E:\Birds Canada east\Beaubassin_NB35-01_4\MMP-POPA04_20170617_050000.wav,576.0,579.0,Melospiza georgiana,Swamp Sparrow,0.6078,46.0000,-64.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
