filepath,start,end,scientific_name,common_name,confidence,lat,lon,week,overlap,sensitivity,min_conf,species_list,model
E:\Birds Canada east\Tintamarre_NB34-05_1\MMP-POPA01_20170610_200000.wav,267.0,270.0,Junco hyemalis,Dark-eyed Junco,0.6651,46.0000,-64.0000,23,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
E:\Birds Canada east\Tintamarre_NB34-05_1\MMP-POPA01_20170610_200000.wav,372.0,375.0,Agelaius phoeniceus,Red-winged Blackbird,0.5951,46.0000,-64.0000,23,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
E:\Birds Canada east\Tintamarre_NB34-05_1\MMP-POPA01_20170610_200000.wav,588.0,591.0,Agelaius phoeniceus,Red-winged Blackbird,0.5086,46.0000,-64.0000,23,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
E:\Birds Canada east\Tintamarre_NB34-05_1\MMP-POPA01_20170610_200000.wav,612.0,615.0,Agelaius phoeniceus,Red-winged Blackbird,0.6698,46.0000,-64.0000,23,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
E:\Birds Canada east\Tintamarre_NB34-05_1\MMP-POPA01_20170610_200000.wav,1032.0,1035.0,Agelaius phoeniceus,Red-winged Blackbird,0.6458,46.0000,-64.0000,23,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
E:\Birds Canada east\Tintamarre_NB34-05_1\MMP-POPA01_20170610_200000.wav,1044.0,1047.0,Agelaius phoeniceus,Red-winged Blackbird,0.6150,46.0000,-64.0000,23,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
E:\Birds Canada east\Tintamarre_NB34-05_1\MMP-POPA01_20170610_200000.wav,1251.0,1254.0,Melospiza melodia,Song Sparrow,0.5199,46.0000,-64.0000,23,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
E:\Birds Canada east\Tintamarre_NB34-05_1\MMP-POPA01_20170610_200000.wav,1263.0,1266.0,Melospiza melodia,Song Sparrow,0.5354,46.0000,-64.0000,23,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
E:\Birds Canada east\Tintamarre_NB34-05_1\MMP-POPA01_20170610_200000.wav,1344.0,1347.0,Melospiza melodia,Song Sparrow,0.9277,46.0000,-64.0000,23,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
E:\Birds Canada east\Tintamarre_NB34-05_1\MMP-POPA01_20170610_200000.wav,1569.0,1572.0,Agelaius phoeniceus,Red-winged Blackbird,0.8515,46.0000,-64.0000,23,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
E:\Birds Canada east\Tintamarre_NB34-05_1\MMP-POPA01_20170610_200000.wav,1620.0,1623.0,Agelaius phoeniceus,Red-winged Blackbird,0.5042,46.0000,-64.0000,23,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
E:\Birds Canada east\Tintamarre_NB34-05_1\MMP-POPA01_20170610_200000.wav,1698.0,1701.0,Agelaius phoeniceus,Red-winged Blackbird,0.5087,46.0000,-64.0000,23,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
E:\Birds Canada east\Tintamarre_NB34-05_1\MMP-POPA01_20170610_200000.wav,1863.0,1866.0,Junco hyemalis,Dark-eyed Junco,0.5319,46.0000,-64.0000,23,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
E:\Birds Canada east\Tintamarre_NB34-05_1\MMP-POPA01_20170610_200000.wav,2445.0,2448.0,Junco hyemalis,Dark-eyed Junco,0.8839,46.0000,-64.0000,23,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
E:\Birds Canada east\Tintamarre_NB34-05_1\MMP-POPA01_20170610_200000.wav,2526.0,2529.0,Junco hyemalis,Dark-eyed Junco,0.7328,46.0000,-64.0000,23,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
E:\Birds Canada east\Tintamarre_NB34-05_1\MMP-POPA01_20170610_200000.wav,2565.0,2568.0,Melospiza georgiana,Swamp Sparrow,0.5376,46.0000,-64.0000,23,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
E:\Birds Canada east\Tintamarre_NB34-05_1\MMP-POPA01_20170610_200000.wav,2646.0,2649.0,Setophaga magnolia,Magnolia Warbler,0.8203,46.0000,-64.0000,23,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
E:\Birds Canada east\Tintamarre_NB34-05_1\MMP-POPA01_20170610_200000.wav,2724.0,2727.0,Setophaga petechia,Yellow Warbler,0.6773,46.0000,-64.0000,23,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
