filepath,start,end,scientific_name,common_name,confidence,lat,lon,week,overlap,sensitivity,min_conf,species_list,model
E:\Birds Canada east\46_64_24_blue\Tintamarre_NB34-8-9_14\SM-14_20190715_211000.wav,3.0,6.0,Melospiza georgiana,Swamp Sparrow,0.8655,46.0000,-64.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
E:\Birds Canada east\46_64_24_blue\Tintamarre_NB34-8-9_14\SM-14_20190715_211000.wav,153.0,156.0,Melospiza georgiana,Swamp Sparrow,0.5058,46.0000,-64.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
E:\Birds Canada east\46_64_24_blue\Tintamarre_NB34-8-9_14\SM-14_20190715_211000.wav,171.0,174.0,Melospiza georgiana,Swamp Sparrow,0.5371,46.0000,-64.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
E:\Birds Canada east\46_64_24_blue\Tintamarre_NB34-8-9_14\SM-14_20190715_211000.wav,180.0,183.0,Melospiza georgiana,Swamp Sparrow,0.6567,46.0000,-64.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
E:\Birds Canada east\46_64_24_blue\Tintamarre_NB34-8-9_14\SM-14_20190715_211000.wav,276.0,279.0,Melospiza georgiana,Swamp Sparrow,0.7237,46.0000,-64.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
E:\Birds Canada east\46_64_24_blue\Tintamarre_NB34-8-9_14\SM-14_20190715_211000.wav,282.0,285.0,Melospiza georgiana,Swamp Sparrow,0.7746,46.0000,-64.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
E:\Birds Canada east\46_64_24_blue\Tintamarre_NB34-8-9_14\SM-14_20190715_211000.wav,285.0,288.0,Melospiza georgiana,Swamp Sparrow,0.6382,46.0000,-64.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
E:\Birds Canada east\46_64_24_blue\Tintamarre_NB34-8-9_14\SM-14_20190715_211000.wav,291.0,294.0,Melospiza georgiana,Swamp Sparrow,0.9036,46.0000,-64.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
E:\Birds Canada east\46_64_24_blue\Tintamarre_NB34-8-9_14\SM-14_20190715_211000.wav,300.0,303.0,Melospiza georgiana,Swamp Sparrow,0.7014,46.0000,-64.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
E:\Birds Canada east\46_64_24_blue\Tintamarre_NB34-8-9_14\SM-14_20190715_211000.wav,366.0,369.0,Melospiza georgiana,Swamp Sparrow,0.8062,46.0000,-64.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
E:\Birds Canada east\46_64_24_blue\Tintamarre_NB34-8-9_14\SM-14_20190715_211000.wav,378.0,381.0,Melospiza georgiana,Swamp Sparrow,0.5234,46.0000,-64.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
E:\Birds Canada east\46_64_24_blue\Tintamarre_NB34-8-9_14\SM-14_20190715_211000.wav,390.0,393.0,Melospiza georgiana,Swamp Sparrow,0.6902,46.0000,-64.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
E:\Birds Canada east\46_64_24_blue\Tintamarre_NB34-8-9_14\SM-14_20190715_211000.wav,435.0,438.0,Melospiza georgiana,Swamp Sparrow,0.5281,46.0000,-64.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
E:\Birds Canada east\46_64_24_blue\Tintamarre_NB34-8-9_14\SM-14_20190715_211000.wav,477.0,480.0,Geothlypis trichas,Common Yellowthroat,0.7109,46.0000,-64.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
E:\Birds Canada east\46_64_24_blue\Tintamarre_NB34-8-9_14\SM-14_20190715_211000.wav,519.0,522.0,Melospiza georgiana,Swamp Sparrow,0.7821,46.0000,-64.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
E:\Birds Canada east\46_64_24_blue\Tintamarre_NB34-8-9_14\SM-14_20190715_211000.wav,531.0,534.0,Melospiza georgiana,Swamp Sparrow,0.8586,46.0000,-64.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
E:\Birds Canada east\46_64_24_blue\Tintamarre_NB34-8-9_14\SM-14_20190715_211000.wav,549.0,552.0,Melospiza georgiana,Swamp Sparrow,0.7122,46.0000,-64.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
E:\Birds Canada east\46_64_24_blue\Tintamarre_NB34-8-9_14\SM-14_20190715_211000.wav,552.0,555.0,Melospiza georgiana,Swamp Sparrow,0.8641,46.0000,-64.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
E:\Birds Canada east\46_64_24_blue\Tintamarre_NB34-8-9_14\SM-14_20190715_211000.wav,561.0,564.0,Melospiza georgiana,Swamp Sparrow,0.5590,46.0000,-64.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
E:\Birds Canada east\46_64_24_blue\Tintamarre_NB34-8-9_14\SM-14_20190715_211000.wav,636.0,639.0,Melospiza georgiana,Swamp Sparrow,0.6461,46.0000,-64.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
