filepath,start,end,scientific_name,common_name,confidence,lat,lon,week,overlap,sensitivity,min_conf,species_list,model
E:\Birds Canada east\BaieVertePortElgin_NB43-04_6\MMP-POPA06_20170701_200000.wav,9.0,12.0,Tringa semipalmata,Willet,0.5121,0.0000,0.0000,-1,0,1.0,0.5,C:\Users\sunny541.stu\AppData\Local\Temp\21565a45e49d5f8dc6dd6d51dcc6710c369d4f14\list.txt,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
E:\Birds Canada east\BaieVertePortElgin_NB43-04_6\MMP-POPA06_20170701_200000.wav,93.0,96.0,Tringa semipalmata,Willet,0.8452,0.0000,0.0000,-1,0,1.0,0.5,C:\Users\sunny541.stu\AppData\Local\Temp\21565a45e49d5f8dc6dd6d51dcc6710c369d4f14\list.txt,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
E:\Birds Canada east\BaieVertePortElgin_NB43-04_6\MMP-POPA06_20170701_200000.wav,96.0,99.0,Tringa semipalmata,Willet,0.7456,0.0000,0.0000,-1,0,1.0,0.5,C:\Users\sunny541.stu\AppData\Local\Temp\21565a45e49d5f8dc6dd6d51dcc6710c369d4f14\list.txt,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
E:\Birds Canada east\BaieVertePortElgin_NB43-04_6\MMP-POPA06_20170701_200000.wav,597.0,600.0,Tringa semipalmata,Willet,0.6547,0.0000,0.0000,-1,0,1.0,0.5,C:\Users\sunny541.stu\AppData\Local\Temp\21565a45e49d5f8dc6dd6d51dcc6710c369d4f14\list.txt,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
E:\Birds Canada east\BaieVertePortElgin_NB43-04_6\MMP-POPA06_20170701_200000.wav,849.0,852.0,Tringa semipalmata,Willet,0.5533,0.0000,0.0000,-1,0,1.0,0.5,C:\Users\sunny541.stu\AppData\Local\Temp\21565a45e49d5f8dc6dd6d51dcc6710c369d4f14\list.txt,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
E:\Birds Canada east\BaieVertePortElgin_NB43-04_6\MMP-POPA06_20170701_200000.wav,861.0,864.0,Tringa semipalmata,Willet,0.8970,0.0000,0.0000,-1,0,1.0,0.5,C:\Users\sunny541.stu\AppData\Local\Temp\21565a45e49d5f8dc6dd6d51dcc6710c369d4f14\list.txt,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
E:\Birds Canada east\BaieVertePortElgin_NB43-04_6\MMP-POPA06_20170701_200000.wav,891.0,894.0,Tringa semipalmata,Willet,0.7531,0.0000,0.0000,-1,0,1.0,0.5,C:\Users\sunny541.stu\AppData\Local\Temp\21565a45e49d5f8dc6dd6d51dcc6710c369d4f14\list.txt,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
E:\Birds Canada east\BaieVertePortElgin_NB43-04_6\MMP-POPA06_20170701_200000.wav,1647.0,1650.0,Tringa semipalmata,Willet,0.5257,0.0000,0.0000,-1,0,1.0,0.5,C:\Users\sunny541.stu\AppData\Local\Temp\21565a45e49d5f8dc6dd6d51dcc6710c369d4f14\list.txt,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
E:\Birds Canada east\BaieVertePortElgin_NB43-04_6\MMP-POPA06_20170701_200000.wav,2010.0,2013.0,Tringa semipalmata,Willet,0.8028,0.0000,0.0000,-1,0,1.0,0.5,C:\Users\sunny541.stu\AppData\Local\Temp\21565a45e49d5f8dc6dd6d51dcc6710c369d4f14\list.txt,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
E:\Birds Canada east\BaieVertePortElgin_NB43-04_6\MMP-POPA06_20170701_200000.wav,2415.0,2418.0,Tringa semipalmata,Willet,0.8437,0.0000,0.0000,-1,0,1.0,0.5,C:\Users\sunny541.stu\AppData\Local\Temp\21565a45e49d5f8dc6dd6d51dcc6710c369d4f14\list.txt,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
E:\Birds Canada east\BaieVertePortElgin_NB43-04_6\MMP-POPA06_20170701_200000.wav,2496.0,2499.0,Tringa semipalmata,Willet,0.9120,0.0000,0.0000,-1,0,1.0,0.5,C:\Users\sunny541.stu\AppData\Local\Temp\21565a45e49d5f8dc6dd6d51dcc6710c369d4f14\list.txt,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
E:\Birds Canada east\BaieVertePortElgin_NB43-04_6\MMP-POPA06_20170701_200000.wav,3510.0,3513.0,Tringa semipalmata,Willet,0.6610,0.0000,0.0000,-1,0,1.0,0.5,C:\Users\sunny541.stu\AppData\Local\Temp\21565a45e49d5f8dc6dd6d51dcc6710c369d4f14\list.txt,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
